net,length_um
net544,154.44µm
net314,153.8µm
RF.registers\[13\]\[16\],153.7µm
_1472_,153.64µm
clknet_leaf_24_clk,153.6µm
net32,153.39µm
_2785_,152.84µm
clknet_leaf_13_clk,152.32µm
clknet_leaf_35_clk,152.24µm
clknet_leaf_44_clk,152.18µm
net26,151.935µm
clknet_leaf_27_clk,151.9µm
clknet_leaf_9_clk,151.76µm
_2299_,151.64µm
clknet_leaf_10_clk,151.41µm
clknet_leaf_3_clk,151.2µm
clknet_leaf_6_clk,150.835µm
_2256_,150.34µm
clknet_leaf_16_clk,149.81µm
net362,149.71µm
net264,149.7µm
clknet_leaf_33_clk,149.6µm
net368,149.42µm
clknet_leaf_21_clk,149.31µm
clknet_leaf_12_clk,148.82µm
_2606_,148.17µm
net270,148.1µm
clknet_leaf_37_clk,147.96µm
net526,147.58µm
clknet_leaf_18_clk,147.5µm
_2337_,147.16µm
net45,147.02µm
net570,146.72µm
clknet_leaf_32_clk,146.69µm
net528,146.37µm
net407,146.35µm
clknet_leaf_28_clk,146.12µm
net554,145.83µm
net416,145.675µm
net48,144.48µm
net434,144.41µm
net461,143.74µm
net285,143.595µm
net548,143.295µm
_1507_,143.24µm
net428,142.8µm
_1627_,142.72µm
clknet_leaf_29_clk,142.39µm
_2861_,142.32µm
clknet_leaf_19_clk,142.1µm
next_pc\[13\],141.94µm
clknet_leaf_26_clk,141.8µm
net547,141.56µm
net297,141.045µm
_1347_,140.86µm
net273,140.805µm
net60,140.24µm
net337,140.04µm
net286,139.59µm
_2336_,139.44µm
RF.registers\[12\]\[12\],138.91µm
net277,138.835µm
RF.registers\[12\]\[11\],138.82µm
clknet_leaf_14_clk,138.295µm
net436,138.16µm
RF.registers\[8\]\[7\],137.77µm
net276,137.275µm
clknet_3_3__leaf_clk,137.22µm
next_pc\[14\],136.68µm
_1669_,136.165µm
RF.registers\[12\]\[21\],135.84µm
net27,135.64µm
clknet_leaf_23_clk,135.44µm
_1361_,135.32µm
net440,135.27µm
net283,134.835µm
clknet_leaf_17_clk,134.24µm
net42,134.12µm
net35,133.15µm
net267,132.23µm
_2502_,131.99µm
RF.registers\[10\]\[6\],131.9µm
_1501_,131.27µm
_1729_,130.86µm
net266,130.815µm
clknet_leaf_31_clk,130.78µm
RF.registers\[10\]\[11\],130.52µm
net310,130.28µm
net66,130.075µm
net62,129.84µm
_1335_,129.585µm
_2653_,128.82µm
RF.registers\[12\]\[5\],128.5µm
_2775_,128.02µm
net290,127.68µm
_2617_,127.05µm
net328,126.4µm
net53,125.99µm
_2261_,125.84µm
net348,125.425µm
_1337_,124.96µm
net527,124.74µm
net409,124.72µm
net278,124.38µm
net281,124.165µm
_2332_,123.98µm
net566,123.75µm
RF.registers\[8\]\[3\],123.72µm
net321,123.3µm
_1252_,123.18µm
net65,123.1µm
net268,122.06µm
net324,121.595µm
net405,121.155µm
_2581_,120.3µm
net459,119.98µm
net274,119.67µm
RF.registers\[4\]\[6\],119.66µm
net443,119.4µm
RF.registers\[11\]\[7\],119.24µm
net329,118.9µm
_2865_,118.86µm
net322,118.81µm
_1253_,118.36µm
net379,118.19µm
_1268_,117.96µm
RF.registers\[12\]\[8\],117.74µm
_1598_,117.7µm
_2100_,117.62µm
_2698_,116.96µm
_2200_,116.56µm
net16,116.3µm
_1558_,116.08µm
_1708_,116.02µm
_2504_,115.52µm
_2818_,115.36µm
net356,115.06µm
net372,114.83µm
RF.registers\[10\]\[8\],114.51µm
_2724_,114.03µm
_2593_,113.9µm
net293,112.285µm
RF.registers\[12\]\[10\],112.12µm
_2547_,112.06µm
net272,111.99µm
RF.registers\[12\]\[27\],111.88µm
net569,111.82µm
_1991_,111.2µm
_1303_,110.98µm
net377,110.76µm
_1983_,110.62µm
_2327_,110.6µm
net343,110.42µm
RF.registers\[12\]\[9\],110.04µm
clknet_leaf_25_clk,110.02µm
RF.registers\[10\]\[4\],109.96µm
_2427_,109.58µm
_2803_,109.5µm
_1682_,109.41µm
_1584_,109.24µm
net323,109.21µm
_1947_,108.96µm
net415,108.94µm
net306,108.93µm
_2338_,108.88µm
net39,108.34µm
RF.registers\[12\]\[13\],108.28µm
net452,108.08µm
net504,108.035µm
_1863_,107.22µm
_1636_,107.21µm
net400,107.195µm
RF.registers\[12\]\[7\],106.98µm
net69,106.97µm
net284,106.845µm
net425,106.77µm
net269,105.995µm
net25,105.99µm
net359,105.3µm
net404,105.255µm
net408,104.89µm
_2269_,104.82µm
_1258_,104.6µm
net341,104.47µm
clknet_leaf_34_clk,104.08µm
net271,103.68µm
net292,103.665µm
_1776_,103.48µm
net419,103.385µm
RF.registers\[12\]\[1\],103.35µm
next_pc\[8\],103.23µm
_2708_,103.14µm
_1615_,102.87µm
_2477_,102.64µm
net20,102.1µm
_2116_,102.04µm
_2180_,101.98µm
RF.registers\[12\]\[3\],101.645µm
_1745_,101.3µm
_1497_,101.06µm
_2735_,100.91µm
net441,100.58µm
_1687_,100.36µm
RF.registers\[8\]\[12\],100.14µm
_2083_,100.04µm
_2563_,99.62µm
RF.registers\[13\]\[19\],99.4µm
RF.registers\[15\]\[3\],99.24µm
RF.registers\[12\]\[26\],99.2µm
_2751_,99.02µm
net282,98.92µm
net47,98.92µm
_2158_,98.79µm
net427,98.705µm
_2138_,98.665µm
_1630_,98.6µm
_1969_,98.52µm
_2123_,98.44µm
net363,98.415µm
net280,98.11µm
clknet_leaf_45_clk,97.82µm
_1803_,97.705µm
RF.registers\[13\]\[18\],97.5µm
net429,97.475µm
_1298_,97.42µm
_1321_,97.19µm
RF.registers\[3\]\[7\],96.3µm
RF.registers\[8\]\[11\],96.06µm
_1812_,95.9µm
_2682_,95.78µm
net287,95.645µm
_1565_,95.41µm
net296,94.97µm
RF.registers\[5\]\[6\],94.88µm
net421,94.635µm
net319,94.515µm
_1632_,94.5µm
_1290_,94.49µm
_1516_,94.36µm
_2262_,93.9µm
_1435_,93.8µm
RF.registers\[12\]\[28\],93.735µm
_2058_,93.38µm
RF.registers\[8\]\[13\],93.26µm
_2171_,92.82µm
_2030_,92.66µm
_1664_,92.38µm
_1675_,91.98µm
next_pc\[11\],91.96µm
_2131_,91.76µm
net64,91.24µm
_1491_,91.205µm
RF.registers\[2\]\[1\],91.2µm
DMEM.memory\[0\]\[29\],90.98µm
net422,90.385µm
_2246_,90.24µm
net294,89.81µm
_1363_,89.71µm
net457,89.22µm
net392,89µm
net567,88.98µm
_1304_,88.96µm
net275,88.565µm
net291,88.455µm
_1768_,88.42µm
net573,88.18µm
_2209_,88.16µm
_2195_,88.12µm
net21,87.91µm
net493,87.9µm
net374,87.48µm
_3130_,87.44µm
net399,87.22µm
_2731_,87.16µm
RF.registers\[3\]\[8\],87.085µm
net353,86.285µm
_1344_,85.77µm
_2066_,85.6µm
_2037_,85.52µm
_1563_,85.27µm
RF.registers\[11\]\[8\],85.24µm
net577,85.24µm
_2276_,85.12µm
_2879_,85.06µm
_1350_,84.98µm
next_pc\[9\],84.02µm
_2249_,83.92µm
RF.registers\[5\]\[27\],83.9µm
_2023_,83.86µm
net505,83.4µm
net458,83.22µm
_2225_,83.21µm
RF.registers\[10\]\[25\],82.64µm
net295,82.555µm
net365,81.98µm
net460,81.98µm
_2006_,81.78µm
RF.registers\[8\]\[22\],80.86µm
RF.registers\[10\]\[10\],80.84µm
_2187_,80.68µm
net578,80.54µm
_1360_,80.2µm
DMEM.memory\[0\]\[31\],80.18µm
_1357_,80.08µm
net52,79.95µm
_1589_,79.81µm
_2154_,79.535µm
_2102_,78.96µm
RF.registers\[3\]\[0\],78.7µm
_1348_,78.535µm
_2128_,78.4µm
_1503_,78.22µm
RF.registers\[8\]\[1\],78.1µm
RF.registers\[12\]\[4\],78.04µm
_2642_,78µm
_2488_,77.96µm
RF.registers\[8\]\[8\],77.92µm
RF.registers\[8\]\[10\],77.905µm
_2098_,77.72µm
net289,77.69µm
_2046_,77.42µm
net327,77.26µm
RF.registers\[12\]\[14\],76.94µm
_1994_,76.88µm
_1648_,76.86µm
_1342_,76.8µm
RF.registers\[9\]\[1\],76.74µm
_2499_,76.67µm
net507,76.2µm
RF.registers\[10\]\[13\],76.1µm
_1672_,76.08µm
net28,76.05µm
_2140_,75.97µm
_1623_,75.68µm
RF.registers\[8\]\[15\],73.82µm
_2205_,73.69µm
net71,73.52µm
net451,73.34µm
_1326_,73.26µm
next_pc\[10\],73.18µm
_1807_,72.92µm
_2137_,72.76µm
_2000_,72.64µm
_2280_,72.575µm
RF.registers\[11\]\[14\],72.565µm
_1540_,72.3µm
_1677_,71.72µm
net73,71.66µm
_2091_,71.24µm
_1427_,71.06µm
net29,71.01µm
_2783_,71µm
_2167_,70.88µm
RF.registers\[2\]\[15\],70.8µm
RF.registers\[10\]\[12\],70.665µm
RF.registers\[13\]\[25\],70.64µm
net352,70.64µm
_1256_,70.42µm
_1775_,70.32µm
net279,70.15µm
net1216,69.99µm
_1976_,69.86µm
_1355_,69.84µm
_2185_,69.72µm
RF.registers\[12\]\[24\],69.645µm
RF.registers\[12\]\[29\],69.635µm
_1310_,69.62µm
net456,69.26µm
_1369_,69µm
_1905_,68.52µm
RF.registers\[8\]\[20\],68.44µm
RF.registers\[3\]\[4\],68.11µm
_1543_,67.86µm
_1948_,67.76µm
_2656_,67.7µm
_1439_,67.54µm
_1330_,67.48µm
_2434_,67.42µm
_2408_,67.4µm
_2730_,67.28µm
_1794_,67.25µm
_2204_,67.24µm
_2840_,67.02µm
RF.registers\[10\]\[26\],66.9µm
RF.registers\[10\]\[22\],66.88µm
_2053_,66.86µm
_2491_,66.78µm
RF.registers\[10\]\[5\],66.57µm
_1684_,66.52µm
RF.registers\[11\]\[13\],66.18µm
RF.registers\[9\]\[0\],66.02µm
_2706_,66.02µm
_2828_,66.02µm
_1394_,65.86µm
RF.registers\[10\]\[20\],65.82µm
RF.registers\[2\]\[10\],65.62µm
_2309_,65.3µm
_1817_,65.24µm
_2109_,65.18µm
RF.registers\[10\]\[30\],65µm
_2176_,64.86µm
RF.registers\[13\]\[29\],64.84µm
RF.registers\[11\]\[15\],64.76µm
RF.registers\[10\]\[7\],64.66µm
RF.registers\[3\]\[6\],64.56µm
RF.registers\[12\]\[0\],64.08µm
_1670_,63.98µm
net424,63.915µm
RF.registers\[13\]\[14\],63.68µm
_1270_,63.38µm
RF.registers\[13\]\[20\],63.255µm
_1735_,63.08µm
_2876_,63.08µm
RF.registers\[10\]\[24\],62.88µm
_1380_,62.88µm
_3133_,62.82µm
_1960_,62.8µm
RF.registers\[15\]\[10\],61.8µm
_2049_,61.76µm
DMEM.memory\[0\]\[23\],61.72µm
RF.registers\[8\]\[2\],61.5µm
_2511_,61.27µm
_2265_,61.26µm
_1604_,60.91µm
_1505_,60.7µm
RF.registers\[9\]\[25\],60.68µm
_2076_,60.54µm
next_pc\[18\],60.54µm
_1492_,60.46µm
RF.registers\[2\]\[0\],60.12µm
net33,60.04µm
net1204,59.98µm
_3123_,59.9µm
_1707_,59.86µm
_1594_,59.82µm
_2604_,59.72µm
_2281_,59.71µm
DMEM.memory\[0\]\[7\],59.46µm
net382,59.28µm
_1535_,59.24µm
net46,59.08µm
net54,59.08µm
_1928_,59.04µm
RF.registers\[12\]\[6\],59.02µm
_1449_,58.96µm
net31,58.9µm
net413,58.7µm
_2509_,58.7µm
RF.registers\[9\]\[22\],58.66µm
_2099_,58.62µm
_2531_,58.54µm
RF.registers\[2\]\[21\],58.42µm
RF.registers\[8\]\[4\],58.24µm
_2765_,58.24µm
_1402_,58.02µm
DMEM.memory\[0\]\[30\],57.745µm
_2444_,57.74µm
_2516_,57.74µm
RF.registers\[10\]\[27\],57.66µm
net68,57.66µm
_1418_,57.62µm
_2172_,57.56µm
_2106_,57.48µm
RF.registers\[13\]\[6\],57.46µm
_2443_,57.46µm
DMEM.memory\[0\]\[5\],57.365µm
RF.registers\[8\]\[0\],57.34µm
_2788_,57.275µm
RF.registers\[4\]\[22\],56.915µm
net462,56.815µm
_2294_,56.54µm
next_pc\[20\],56.54µm
_2215_,56.4µm
_2217_,56.38µm
RF.registers\[3\]\[5\],56.305µm
_2078_,56.24µm
_2498_,56.18µm
_1408_,56.03µm
RF.registers\[12\]\[2\],56µm
_2292_,55.88µm
RF.registers\[13\]\[21\],55.84µm
_1450_,55.82µm
RF.registers\[11\]\[11\],55.72µm
_1964_,55.33µm
RF.registers\[3\]\[28\],55.16µm
_2733_,55.16µm
_1780_,55.14µm
_2321_,54.98µm
net300,54.97µm
_1414_,54.92µm
_1433_,54.915µm
RF.registers\[15\]\[11\],54.88µm
DMEM.memory\[0\]\[24\],54.84µm
_1954_,54.82µm
net41,54.74µm
_1443_,54.71µm
_2877_,54.55µm
net402,54.52µm
RF.registers\[3\]\[22\],54.38µm
_1364_,54.32µm
net574,54.14µm
_1334_,54.125µm
RF.registers\[2\]\[6\],54.08µm
DMEM.memory\[0\]\[27\],54.06µm
net533,54.02µm
_1287_,53.72µm
_2223_,53.56µm
RF.registers\[15\]\[30\],53.505µm
_1438_,53.48µm
_1431_,53.44µm
DMEM.memory\[0\]\[3\],53.24µm
_2081_,53.2µm
next_pc\[15\],52.74µm
_2423_,52.7µm
RF.registers\[5\]\[5\],52.64µm
RF.registers\[13\]\[8\],52.52µm
next_pc\[25\],52.44µm
RF.registers\[10\]\[1\],52.4µm
net43,52.34µm
net67,52.34µm
net22,51.94µm
RF.registers\[11\]\[23\],51.88µm
RF.registers\[16\]\[14\],51.84µm
_2428_,51.78µm
_2026_,51.68µm
_1406_,51.48µm
_1888_,51.04µm
_2054_,51.04µm
_2211_,51.03µm
RF.registers\[2\]\[14\],50.98µm
_2319_,50.865µm
_1913_,50.74µm
_2089_,50.68µm
RF.registers\[9\]\[14\],50.62µm
_1470_,50.58µm
_2569_,50.54µm
RF.registers\[12\]\[15\],50.48µm
RF.registers\[4\]\[28\],50.375µm
RF.registers\[15\]\[20\],50.26µm
RF.registers\[2\]\[13\],50.1µm
_2126_,49.96µm
_2105_,49.66µm
_2090_,49.56µm
RF.registers\[10\]\[9\],49.32µm
RF.registers\[13\]\[17\],49.24µm
_2652_,49.08µm
_1520_,48.98µm
_2679_,48.96µm
RF.registers\[16\]\[17\],48.92µm
_1962_,48.92µm
_1546_,48.8µm
RF.registers\[5\]\[31\],48.76µm
_1353_,48.72µm
_2228_,48.65µm
_1299_,48.56µm
_1930_,48.52µm
RF.registers\[15\]\[18\],48.4µm
_2247_,48.26µm
_1354_,48.24µm
_2201_,48.2µm
RF.registers\[9\]\[6\],48.02µm
net234,47.88µm
_1534_,47.775µm
_2278_,47.53µm
next_pc\[17\],47.44µm
RF.registers\[4\]\[4\],47.34µm
net58,47.34µm
RF.registers\[10\]\[0\],47.24µm
_2579_,47.24µm
RF.registers\[11\]\[6\],47.22µm
_2760_,47.14µm
RF.registers\[10\]\[29\],47.04µm
RF.registers\[3\]\[9\],46.845µm
RF.registers\[11\]\[26\],46.7µm
_3135_,46.6µm
_1397_,46.56µm
RF.registers\[16\]\[31\],46.48µm
_2568_,46.48µm
RF.registers\[4\]\[9\],46.38µm
_3122_,46.24µm
_2022_,46.18µm
_1424_,46.14µm
_2149_,46.1µm
RF.registers\[12\]\[30\],45.98µm
RF.registers\[10\]\[2\],45.88µm
_2445_,45.86µm
RF.registers\[8\]\[17\],45.8µm
_2738_,45.78µm
RF.registers\[9\]\[21\],45.75µm
RF.registers\[10\]\[14\],45.705µm
_2213_,45.64µm
next_pc\[16\],45.625µm
DMEM.memory\[0\]\[26\],45.6µm
_1809_,45.565µm
DMEM.memory\[0\]\[16\],45.54µm
_1495_,45.52µm
RF.registers\[8\]\[30\],45.46µm
_1527_,45.46µm
_2155_,45.26µm
_2641_,45.205µm
_2192_,45.16µm
_1277_,45.12µm
RF.registers\[4\]\[31\],45.065µm
RF.registers\[10\]\[31\],45.06µm
_2809_,45.03µm
pc_out[29],44.81µm
_1720_,44.55µm
pc_out[23],44.44µm
RF.registers\[13\]\[30\],44.405µm
_2437_,44.38µm
_2016_,44.36µm
_1979_,44.26µm
RF.registers\[4\]\[14\],44.16µm
RF.registers\[12\]\[31\],44.12µm
_1692_,44.02µm
_1328_,44µm
RF.registers\[3\]\[2\],43.88µm
RF.registers\[3\]\[31\],43.88µm
RF.registers\[13\]\[31\],43.76µm
_2122_,43.44µm
_2451_,43.36µm
next_pc\[19\],43.245µm
RF.registers\[3\]\[25\],43.225µm
RF.registers\[15\]\[27\],42.76µm
_2238_,42.755µm
_1537_,42.74µm
_1770_,42.74µm
_2419_,42.68µm
_2193_,42.66µm
_2097_,42.52µm
_1773_,42.48µm
_2207_,42.42µm
RF.registers\[13\]\[1\],42.38µm
_1461_,42.3µm
net572,42.22µm
_1295_,42.22µm
