net,length_um
net442,577.32µm
net387,508.14µm
net391,501.625µm
clknet_0_clk,486.26µm
net498,468.01µm
net483,430.99µm
_2542_,425.19µm
net386,413.89µm
net481,403.06µm
net497,401.14µm
net396,400.71µm
net520,395.27µm
net496,393.24µm
net263,391.68µm
net511,379.59µm
_1312_,371.845µm
net484,349.38µm
net478,343.63µm
net451,341.425µm
net518,335.2µm
_1263_,335.18µm
_2580_,331.76µm
clk,327.31µm
net509,319.61µm
net335,319.49µm
_1464_,318.195µm
net316,317.99µm
net435,310.1µm
net466,309.08µm
net477,308.81µm
RF.registers\[12\]\[18\],308.525µm
net467,307.33µm
net372,305.84µm
_2882_,304.23µm
_1557_,304.18µm
net337,303.46µm
net462,303.28µm
net472,302.73µm
net493,302.2µm
net470,301.84µm
net329,300.25µm
_1320_,299.035µm
net393,297.9µm
net510,297.68µm
net495,297.34µm
net346,297.31µm
_1382_,296.475µm
net378,296.29µm
net492,293.54µm
clknet_3_4__leaf_clk,289.76µm
net110,288.66µm
_2950_,287.14µm
net299,286.46µm
net479,286.36µm
net439,286.27µm
net55,285.36µm
net469,283.2µm
net465,282.86µm
net51,281.63µm
net463,280.26µm
net339,279.24µm
net303,278.025µm
_2923_,277.34µm
net359,274.02µm
net355,271.585µm
net488,271.58µm
net74,269.82µm
net538,269.51µm
_1288_,269.18µm
clknet_3_1__leaf_clk,268.76µm
net432,268.44µm
net340,267.65µm
net464,267.05µm
_2333_,265.13µm
net476,261.06µm
net37,261µm
_1550_,260.82µm
net318,260.11µm
net307,258.52µm
net314,258.44µm
net537,258.3µm
_2830_,258.27µm
net474,257.8µm
net429,254.965µm
net322,254.785µm
net309,254.76µm
_1490_,254.3µm
net475,254.12µm
net519,253.22µm
clknet_3_6__leaf_clk,250.86µm
_2917_,250.78µm
net397,250.7µm
net441,249.98µm
net380,249.95µm
net24,249.6µm
net536,248.96µm
net365,247.81µm
_2557_,247.66µm
net431,247.3µm
_2862_,247.1µm
net348,247.035µm
net304,246.985µm
_2371_,245.725µm
clknet_3_0__leaf_clk,245.555µm
net445,244.71µm
net430,243.175µm
net434,242.54µm
net450,242.225µm
net415,241.51µm
net447,241µm
RF.registers\[12\]\[17\],240.59µm
net302,240.02µm
net63,239.96µm
_2632_,239.18µm
net383,238.1µm
_1554_,236.715µm
_1578_,236.02µm
_3128_,235.34µm
RF.registers\[12\]\[16\],233.46µm
_1562_,233.46µm
net312,233.45µm
net265,233.265µm
net308,232.7µm
net566,232.64µm
RF.registers\[12\]\[23\],232.58µm
net517,230.53µm
net311,229.33µm
net44,228.29µm
net428,228.11µm
net449,226.825µm
net384,226.32µm
net436,226.115µm
net394,225.94µm
net352,225.69µm
net336,224.97µm
net343,224.53µm
net375,224.22µm
net56,223.6µm
RF.registers\[12\]\[20\],223.555µm
net49,223.48µm
_2466_,223.36µm
_1345_,223.35µm
net542,222.72µm
net437,222.5µm
net330,222.49µm
net317,222.18µm
clknet_leaf_1_clk,222.12µm
_1341_,221.82µm
_2708_,220.67µm
net305,218.65µm
net334,216.08µm
_1473_,216µm
net420,215.4µm
net342,215.09µm
net574,214.04µm
clknet_leaf_2_clk,213.74µm
net550,213.57µm
next_pc\[7\],213.42µm
net23,213.4µm
_1455_,211.73µm
net468,211.57µm
next_pc\[12\],210.83µm
net313,208.96µm
clknet_leaf_38_clk,208.37µm
net573,207.98µm
net539,207.68µm
net356,206.66µm
_1319_,206.38µm
RF.registers\[12\]\[25\],205.18µm
