net,length_um
net395,584.09µm
clknet_0_clk,553.77µm
net386,528.36µm
net441,507.78µm
net49,505.5µm
_1326_,482.315µm
net497,455.32µm
net510,443.84µm
net519,389.795µm
net496,379.62µm
net495,373.58µm
net46,373.41µm
_2542_,372.08µm
net262,371.84µm
net376,368.74µm
net480,367.64µm
net448,366.345µm
net314,362.74µm
net447,358.665µm
net478,346.32µm
_2985_,346.11µm
_1464_,345.045µm
clknet_3_1__leaf_clk,342.01µm
net327,339.14µm
net333,329.585µm
net364,326.66µm
net476,324.05µm
net483,323.39µm
net517,320.93µm
net466,319.45µm
net487,319.03µm
net462,318.02µm
_1562_,314.94µm
_1312_,314.105µm
net491,313.77µm
net358,311.21µm
net301,303.645µm
net368,302.53µm
_2917_,301.7µm
net492,297.74µm
net304,297.1µm
net379,296.6µm
net337,296.38µm
net434,296.23µm
net465,293.88µm
net344,293.43µm
net474,293.27µm
net494,293.22µm
net475,291.44µm
_1557_,291.08µm
clk,290.865µm
net390,290.575µm
net508,289.935µm
net307,289.2µm
_1550_,289.05µm
net308,287.01µm
net312,286.65µm
net439,286.415µm
net302,286.175µm
net512,285µm
net471,284.61µm
net461,284.54µm
net432,283.92µm
net468,283.81µm
net35,283.52µm
net422,282.49µm
net306,280.98µm
net377,280.26µm
net477,278.24µm
net61,277.74µm
net463,277.59µm
net23,277.2µm
net264,276.39µm
net331,275.73µm
net444,275.17µm
net469,270.24µm
_2632_,269.61µm
net384,269.03µm
net310,268.87µm
_1578_,268.8µm
net549,267.68µm
net297,266.74µm
net520,266.66µm
net43,266.4µm
net296,264.73µm
net473,264.23µm
net464,263.48µm
clknet_3_4__leaf_clk,262.63µm
_1490_,262.12µm
RF.registers\[12\]\[16\],260.14µm
RF.registers\[12\]\[23\],259.74µm
_2371_,258.98µm
net336,258.48µm
net493,257.6µm
net385,257.52µm
_1264_,255.78µm
RF.registers\[12\]\[19\],254.4µm
net71,254.31µm
_1382_,254.26µm
_1263_,252.505µm
net537,252.4µm
clknet_3_0__leaf_clk,251.95µm
net107,251.92µm
_1293_,251.77µm
net550,251µm
net486,250.24µm
_2157_,249.8µm
net347,248.47µm
net299,247.39µm
_1473_,246.82µm
_2557_,246.36µm
net54,246.31µm
_2466_,245.86µm
_1320_,245.325µm
net394,242µm
net536,240.325µm
_3128_,240.3µm
net429,239.65µm
_2882_,239.24µm
