net,length_um
clknet_0_clk,545.12µm
net76,500.34µm
net542,474.88µm
net442,472.91µm
net320,469.39µm
net335,450.75µm
net510,444.61µm
net511,425.8µm
_2917_,423.94µm
net439,417.75µm
net389,393.57µm
net455,388.75µm
net520,380.05µm
net382,375.62µm
net363,374.41µm
net306,374.14µm
net452,373.52µm
net457,373.02µm
net317,369.14µm
net352,363.965µm
net549,358.78µm
net398,358.62µm
net450,353.62µm
net309,352.25µm
net349,351.68µm
net344,345.58µm
net316,344.42µm
_1382_,342.54µm
net433,333.015µm
net396,331.41µm
net340,328.885µm
net357,323.625µm
net49,322.75µm
net358,322.675µm
net51,314.82µm
net383,313.92µm
net509,313.32µm
net434,310.51µm
net402,309.97µm
net437,306.83µm
clknet_3_2__leaf_clk,306.62µm
clk,300.81µm
net353,300.73µm
net397,300.58µm
net436,299.92µm
_2882_,296.69µm
_1345_,295.87µm
net409,295.48µm
net336,292.68µm
net444,291.01µm
_1263_,289.7µm
net310,288.85µm
net393,288.72µm
RF.registers\[12\]\[31\],286.885µm
net488,285.195µm
net369,284.02µm
_1464_,282.205µm
_2985_,281.07µm
net18,279.14µm
clknet_3_4__leaf_clk,276.8µm
net449,273.46µm
net318,273.17µm
net387,271.41µm
net371,268.065µm
net319,266.64µm
_1557_,266.59µm
net443,264.37µm
_2632_,263.98µm
net384,263.9µm
clknet_3_6__leaf_clk,262.17µm
RF.registers\[12\]\[2\],261.795µm
net313,260.675µm
RF.registers\[12\]\[23\],260.58µm
net323,259.42µm
_1455_,258.3µm
RF.registers\[12\]\[20\],258.18µm
_2157_,257.11µm
net550,255.17µm
net346,254.74µm
RF.registers\[12\]\[21\],254.32µm
RF.registers\[12\]\[5\],252.38µm
net440,250.54µm
net472,248.8µm
net483,248.5µm
_1293_,248.12µm
net521,247.86µm
net551,247.56µm
net339,246.47µm
net268,246.455µm
net447,245.595µm
RF.registers\[12\]\[6\],242.32µm
net307,241.44µm
net448,241.17µm
_1637_,240.985µm
net391,240.8µm
net445,240.53µm
RF.registers\[12\]\[3\],239.825µm
net470,239.22µm
_1486_,238.79µm
RF.registers\[12\]\[10\],238.52µm
net431,236.85µm
net341,236.17µm
net415,235.75µm
net446,235.665µm
net48,234.54µm
net568,234.32µm
net345,234.25µm
reset,232.41µm
net322,231.95µm
net484,230.7µm
net272,230.58µm
clknet_3_0__leaf_clk,229.84µm
net543,228.22µm
RF.registers\[12\]\[25\],228.2µm
net435,228.01µm
clknet_leaf_38_clk,227.36µm
_2542_,226.9µm
net544,224.16µm
net321,224.14µm
net347,221.99µm
RF.registers\[12\]\[4\],220.855µm
_1658_,219.625µm
_1473_,219.48µm
clknet_3_5__leaf_clk,219.2µm
net329,219.16µm
net522,218.62µm
net523,218.62µm
clknet_leaf_25_clk,218.2µm
net380,217.46µm
_1389_,217.425µm
net478,215.88µm
_2923_,215.45µm
net417,215.07µm
net325,214.05µm
RF.registers\[12\]\[22\],214.035µm
RF.registers\[12\]\[13\],213.325µm
RF.registers\[12\]\[18\],213.28µm
net348,213.235µm
net315,213.16µm
net538,213.08µm
net441,212.92µm
net406,211.755µm
net366,211.225µm
_1460_,210.67µm
clknet_3_7__leaf_clk,209.88µm
clknet_leaf_9_clk,209.8µm
net407,209.75µm
_1656_,208.91µm
clknet_leaf_16_clk,208.67µm
net269,208.54µm
net390,208.2µm
net271,207.46µm
net385,207µm
net541,206.8µm
net438,206.11µm
net351,206.005µm
_2332_,205.32µm
clknet_leaf_37_clk,205.16µm
_1312_,204.705µm
net21,203.92µm
net540,203.82µm
net476,203.52µm
net67,203.48µm
net524,203.13µm
net362,202.985µm
_1708_,202.68µm
net378,202.49µm
RF.registers\[12\]\[8\],201.595µm
net576,201.02µm
net467,200.92µm
net466,199.98µm
net355,199.48µm
net463,199.14µm
clknet_leaf_39_clk,199µm
net408,198.94µm
net350,198.165µm
net57,197.7µm
clknet_leaf_19_clk,197.22µm
net481,196.16µm
net270,195.8µm
RF.registers\[12\]\[0\],195.785µm
net365,195.49µm
net504,195.235µm
net404,193.745µm
RF.registers\[12\]\[19\],193.34µm
net469,192.66µm
RF.registers\[12\]\[27\],191.985µm
net281,191.62µm
net430,191.56µm
RF.registers\[12\]\[11\],191.205µm
net312,190.77µm
net337,190.515µm
net368,189.68µm
net425,189.47µm
clknet_3_3__leaf_clk,189.26µm
_1651_,189.19µm
_2865_,189.19µm
net429,188.68µm
net19,188.08µm
net388,187.68µm
_1323_,186.75µm
RF.registers\[15\]\[28\],186.3µm
_2604_,186.2µm
net25,185.72µm
DMEM.memory\[0\]\[17\],185.06µm
net373,184.87µm
net539,184.86µm
_1578_,184.45µm
net34,183.96µm
clknet_leaf_28_clk,183.3µm
net342,183µm
clknet_3_1__leaf_clk,182.58µm
_1463_,182.48µm
net72,182.28µm
clknet_leaf_29_clk,182.265µm
_1687_,182.1µm
net528,181.85µm
_1682_,181.7µm
clknet_leaf_21_clk,181.595µm
net68,181.59µm
_1768_,181.42µm
_1459_,180.64µm
clknet_leaf_20_clk,180.16µm
net338,180.15µm
_1501_,180µm
net334,179.94µm
net395,179.83µm
RF.registers\[12\]\[14\],179.57µm
net533,179.16µm
net381,178.84µm
net37,178.38µm
_2855_,178.31µm
net311,178.2µm
net459,177.07µm
net287,176.94µm
net527,176.93µm
net370,176.52µm
_1554_,176.26µm
DMEM.memory\[0\]\[12\],176.18µm
net537,175.755µm
net574,175.72µm
net474,175.72µm
net26,175.71µm
net35,175.62µm
net285,175.295µm
net487,175.22µm
net401,174.705µm
net410,174.18µm
_2408_,173.705µm
clknet_leaf_13_clk,173.52µm
_2818_,172.42µm
net414,172.225µm
clknet_leaf_35_clk,170.34µm
clknet_leaf_32_clk,170.2µm
net424,170.105µm
_2803_,169.47µm
clknet_leaf_36_clk,169.06µm
net293,168.89µm
net464,168.84µm
net330,168.66µm
net291,168.445µm
_2465_,168.32µm
clknet_leaf_27_clk,168.1µm
net462,168.02µm
_2338_,167.92µm
clknet_leaf_26_clk,167.9µm
_2830_,167.8µm
_1289_,167.74µm
_1863_,167.72µm
