net,length_um
clknet_0_clk,514.46µm
net491,457.11µm
net380,440.01µm
net435,438.7µm
net439,393.46µm
net513,387.12µm
net489,384.13µm
net490,373.24µm
_2542_,360.38µm
net309,357.755µm
net262,352.56µm
net504,344.79µm
net481,341.24µm
net474,326.16µm
net442,320.22µm
_1562_,319.2µm
net529,317.44µm
net418,315.5µm
_1382_,314.16µm
net46,312.89µm
_1464_,311.095µm
_1550_,309.62µm
net485,304.27µm
_1361_,301.46µm
net250,301.05µm
net460,299.18µm
_1490_,296.32µm
net343,295.085µm
net506,294.16µm
net477,292.06µm
net488,291.48µm
clk,289.975µm
net67,289.83µm
net486,287.8µm
net424,286.705µm
net543,286.39µm
net302,282.995µm
net453,282.36µm
net465,282.32µm
net372,280.78µm
net531,280.09µm
net402,278.44µm
_2580_,277.65µm
_2830_,277.27µm
net544,276.74µm
net438,276.225µm
net427,276.065µm
net313,275.33µm
net471,274.73µm
net456,273.93µm
net307,273.41µm
net503,273.29µm
net455,272.98µm
net511,272.755µm
_2557_,268.74µm
net514,267.99µm
_2632_,266.32µm
_2950_,265.21µm
_1263_,264.4µm
net470,262.42µm
net463,261.68µm
net330,261.16µm
net458,260.56µm
net502,257.22µm
net459,256.03µm
_2882_,254.18µm
net571,253.44µm
net515,252.98µm
RF.registers\[12\]\[23\],252.08µm
_1557_,251.38µm
_1473_,251.14µm
net487,250.66µm
net472,250.58µm
clknet_3_4__leaf_clk,250.44µm
clknet_3_0__leaf_clk,249.91µm
net476,249.87µm
net306,248.4µm
net457,248.25µm
net532,247.06µm
net267,246.91µm
net480,246.08µm
net350,245.695µm
_1288_,245.35µm
net462,244.8µm
net107,244.16µm
_2985_,244.02µm
net336,243.56µm
_2923_,242.94µm
net335,242.31µm
net533,241.6µm
_1554_,240.085µm
net434,239.36µm
RF.registers\[12\]\[8\],238.635µm
net312,238.44µm
clknet_3_1__leaf_clk,237.24µm
_2862_,236.92µm
net69,236.84µm
net564,235.79µm
net22,235.58µm
_1578_,235.27µm
net308,234.18µm
net534,233.8µm
net512,233.76µm
net432,232.65µm
net441,232.42µm
net36,231.78µm
net342,231.205µm
_2157_,229.62µm
net373,228.42µm
clknet_3_6__leaf_clk,228.28µm
net71,227.36µm
net43,227.1µm
net331,226.215µm
net54,225.76µm
net526,223.56µm
net264,222.97µm
net296,222.9µm
net436,222.44µm
net328,221.925µm
net318,221.715µm
net374,221.15µm
net382,220.84µm
net468,220.69µm
net426,219.95µm
net32,218.3µm
net344,218.01µm
net536,217.26µm
net516,216.58µm
net510,216.39µm
net469,216.02µm
net527,215.765µm
net522,215.34µm
net287,215.05µm
net355,214.1µm
net542,214.08µm
net535,211.96µm
net376,211.51µm
net300,211.5µm
RF.registers\[12\]\[12\],210.86µm
net528,210.56µm
_2917_,210.24µm
net525,209.46µm
net297,208.27µm
_3128_,206.6µm
net446,206.43µm
_1460_,204.78µm
net303,202.29µm
net305,202µm
net517,201.44µm
net361,201.43µm
net389,201.02µm
_2332_,200.97µm
net44,200.86µm
_2582_,200.78µm
net425,200.56µm
clknet_leaf_36_clk,199.84µm
_2327_,199.8µm
net387,199.38µm
net29,199.165µm
net407,197.77µm
net263,197.72µm
_1486_,196.92µm
net450,196.82µm
net301,194.685µm
_1341_,194.45µm
_2617_,193.9µm
net35,193.38µm
net252,192.675µm
net467,192.52µm
net383,192.31µm
net378,192.3µm
net314,191.44µm
net351,191.435µm
net360,191.06µm
net523,189.56µm
net379,189.4µm
net461,189.04µm
net347,188.74µm
net560,188.54µm
net448,188.32µm
clknet_leaf_2_clk,188.08µm
net319,187.75µm
_2855_,186.26µm
net349,185.68µm
_1320_,185.495µm
net274,185.265µm
RF.registers\[12\]\[16\],184.905µm
net23,184.66µm
net404,183.935µm
net72,182.98µm
clknet_leaf_21_clk,182.88µm
net332,182.72µm
_1651_,181.865µm
net368,181.08µm
net339,181.025µm
net34,180.56µm
net521,180.18µm
net537,179.76µm
net327,179.27µm
net366,179.18µm
net519,179.14µm
RF.registers\[12\]\[17\],178.74µm
net49,178.47µm
net345,178.03µm
_1658_,177.96µm
clknet_leaf_20_clk,177.96µm
net431,177.815µm
net419,177.6µm
net411,177.6µm
clknet_leaf_14_clk,177.22µm
clknet_leaf_40_clk,177.18µm
clknet_leaf_5_clk,176.65µm
clknet_leaf_3_clk,175.86µm
net354,175.25µm
RF.registers\[12\]\[31\],174.84µm
_2563_,174.54µm
_2606_,173.92µm
net433,173.745µm
_2859_,173.71µm
clknet_leaf_38_clk,172.95µm
net546,172.86µm
RF.registers\[12\]\[5\],172.4µm
clknet_3_2__leaf_clk,172.06µm
_1459_,172.03µm
net414,171.365µm
next_pc\[7\],171.17µm
net497,170.84µm
net390,170.19µm
net391,169.78µm
clknet_leaf_39_clk,169.66µm
_2593_,169.64µm
net57,168.875µm
net520,168.7µm
RF.registers\[12\]\[21\],168.64µm
net333,168.415µm
clknet_leaf_6_clk,168.1µm
clknet_leaf_33_clk,167.24µm
net377,167.2µm
_1637_,166.42µm
net518,166.36µm
net265,166.3µm
_2852_,165.67µm
clknet_3_5__leaf_clk,165.58µm
_1264_,164.73µm
net334,164.48µm
net388,164.43µm
net559,164.195µm
net393,163.87µm
_1729_,163.83µm
clknet_leaf_12_clk,163.4µm
_2547_,163.19µm
next_pc\[5\],162.68µm
net282,162.635µm
net340,162.56µm
net61,162.06µm
clknet_leaf_22_clk,161.36µm
_2465_,161.06µm
net40,160.74µm
clknet_leaf_0_clk,160.36µm
RF.registers\[12\]\[20\],159.64µm
clknet_leaf_8_clk,159.22µm
clknet_leaf_35_clk,158.22µm
_2841_,158.06µm
net363,158.03µm
clknet_leaf_4_clk,158µm
net47,157.6µm
_2850_,156.96µm
net337,156.08µm
clknet_leaf_1_clk,155.89µm
net315,155.715µm
net38,155.38µm
net385,154.3µm
net413,153.68µm
net422,153.375µm
clknet_3_3__leaf_clk,153.16µm
net59,153.06µm
net386,153.05µm
clknet_leaf_9_clk,152.2µm
net271,152.14µm
net449,152.1µm
RF.registers\[12\]\[19\],151.85µm
_1463_,151.75µm
_1466_,151.74µm
clknet_leaf_11_clk,151.145µm
clknet_leaf_16_clk,151.02µm
_1298_,150.96µm
net311,150.86µm
clknet_leaf_10_clk,150.16µm
_1304_,149.975µm
_1455_,149.78µm
_1268_,149.69µm
_1345_,149.47µm
net317,149.09µm
net545,148.935µm
_1656_,148.085µm
clknet_leaf_37_clk,147.99µm
net395,147.71µm
clknet_leaf_13_clk,146.62µm
net289,146.525µm
net52,146.42µm
_1337_,145.46µm
_1355_,145.2µm
_1501_,145.1µm
net56,144.32µm
clknet_leaf_25_clk,144.115µm
net324,144.06µm
net375,143.81µm
net277,143.135µm
clknet_leaf_41_clk,142.87µm
net283,142.435µm
clknet_leaf_24_clk,142.3µm
net48,141.01µm
net269,140.36µm
clknet_3_7__leaf_clk,140.14µm
net20,139.8µm
clknet_leaf_30_clk,139.72µm
RF.registers\[10\]\[6\],138.86µm
_2775_,138.26µm
clknet_leaf_19_clk,138.05µm
clknet_leaf_7_clk,137.99µm
clknet_leaf_32_clk,137.76µm
net415,137.65µm
net394,137.41µm
net405,137.175µm
net341,137.08µm
net58,137.02µm
net321,136.775µm
net400,136.575µm
clknet_leaf_23_clk,136.455µm
_2466_,135.92µm
net17,135.56µm
net15,135.28µm
net33,135.14µm
net408,135.01µm
_1598_,134.95µm
_3120_,134.84µm
net348,134.68µm
net369,134.42µm
_1389_,134.375µm
net293,134.17µm
_2604_,133.71µm
net403,133.65µm
net370,133.49µm
clknet_leaf_27_clk,133.36µm
_2818_,132.64µm
net430,132.32µm
_1812_,131.99µm
net290,131.785µm
net367,131.69µm
net429,131.46µm
net416,131.1µm
_1584_,130.575µm
clknet_leaf_31_clk,130.375µm
net392,130.03µm
RF.registers\[12\]\[22\],129.12µm
net285,128.975µm
RF.registers\[12\]\[24\],128.43µm
_2803_,128.22µm
net364,127.09µm
_1344_,126.54µm
net284,126.515µm
RF.registers\[12\]\[9\],125.86µm
clknet_leaf_26_clk,125.3µm
_2751_,125.2µm
RF.registers\[12\]\[2\],124.92µm
clknet_leaf_15_clk,124.76µm
clknet_leaf_18_clk,124.34µm
net482,123.98µm
_1565_,123.85µm
_1472_,123.6µm
_2531_,123.18µm
clknet_leaf_29_clk,123.16µm
net452,122.86µm
net64,122.775µm
_1360_,122.63µm
DMEM.memory\[0\]\[29\],122.6µm
net45,121.92µm
net31,121.7µm
net358,121.6µm
_2653_,121.38µm
RF.registers\[4\]\[6\],120.46µm
_1409_,120.28µm
_2708_,120.2µm
clknet_leaf_34_clk,119.9µm
net279,119.86µm
_1627_,119.86µm
RF.registers\[11\]\[8\],119.12µm
RF.registers\[13\]\[27\],118.7µm
net409,118.23µm
_1303_,118.115µm
_2682_,118.04µm
RF.registers\[12\]\[26\],117.865µm
_1283_,117.5µm
_1961_,117.38µm
RF.registers\[12\]\[13\],117.335µm
_1934_,117.07µm
net401,116.63µm
_1326_,116.09µm
_2138_,115.845µm
net27,115.8µm
net310,115.38µm
net292,115.06µm
net437,114.81µm
clknet_leaf_28_clk,114.42µm
net412,114.18µm
net406,114.03µm
_1594_,113.91µm
clknet_leaf_17_clk,113.82µm
net276,113.76µm
RF.registers\[10\]\[12\],113.225µm
_1347_,112.92µm
RF.registers\[12\]\[11\],112.88µm
RF.registers\[10\]\[7\],112.78µm
clknet_leaf_42_clk,112.7µm
net270,112.57µm
_2785_,112.17µm
net295,111.85µm
net320,111.6µm
net25,111.595µm
RF.registers\[12\]\[7\],111.535µm
net28,111.21µm
RF.registers\[12\]\[18\],111.09µm
