net,length_um
net288,110.935µm
net272,110.6µm
_1803_,110.31µm
net423,110.01µm
_1558_,109.92µm
net294,109.855µm
net329,109.62µm
net410,109.23µm
RF.registers\[12\]\[25\],109.04µm
_1863_,108.86µm
net268,108.68µm
net275,108.565µm
_1623_,108.46µm
net357,108.28µm
RF.registers\[12\]\[27\],108.17µm
RF.registers\[12\]\[0\],108.12µm
_1312_,107.855µm
_2058_,107.58µm
net362,107.51µm
net281,107.17µm
_2338_,107.15µm
net280,106.975µm
net454,106.82µm
_1927_,106.62µm
_2516_,106.48µm
_1887_,106.3µm
_1948_,106.3µm
RF.registers\[12\]\[28\],106.185µm
RF.registers\[12\]\[14\],105.8µm
net338,105.47µm
_1369_,105.26µm
net557,104.98µm
net291,104.825µm
_2861_,104.5µm
net37,104.44µm
net568,103.46µm
net397,103.115µm
net346,103.07µm
RF.registers\[13\]\[24\],102.485µm
net493,102.26µm
_1438_,101.9µm
_1954_,101.66µm
RF.registers\[12\]\[1\],101.64µm
_1669_,101.195µm
net381,101.1µm
_2731_,101.06µm
_1427_,100.8µm
_1311_,100.54µm
net495,100.54µm
_1630_,100.44µm
_2262_,100.13µm
net278,99.705µm
net561,99.5µm
_1920_,98.86µm
_2306_,98.85µm
_2865_,98.76µm
net51,98.42µm
_2066_,98.2µm
_2337_,98.16µm
_2246_,98.14µm
net365,98.02µm
_1516_,97.94µm
_1491_,97.27µm
_1648_,96.505µm
next_pc\[8\],96.24µm
_1912_,96µm
_1983_,95.24µm
net440,95.095µm
RF.registers\[8\]\[5\],94.9µm
_1941_,94.84µm
_1708_,94.74µm
RF.registers\[10\]\[5\],94.72µm
_1991_,94.61µm
next_pc\[31\],94.505µm
net353,94.08µm
_1664_,93.86µm
RF.registers\[12\]\[3\],93.795µm
RF.registers\[12\]\[10\],93.285µm
net16,93.24µm
net563,93.01µm
_2158_,92.97µm
RF.registers\[2\]\[0\],92.86µm
_1768_,92.78µm
_1350_,92.515µm
RF.registers\[15\]\[19\],92.04µm
RF.registers\[13\]\[25\],91.92µm
_1423_,91.69µm
net50,91.3µm
_2100_,91.28µm
_2333_,91.09µm
net570,90.78µm
net63,90.72µm
net30,90.44µm
_1293_,90.3µm
net316,90.065µm
net428,89.85µm
net255,89.695µm
_1776_,89.54µm
net286,89.235µm
_1290_,89.19µm
_2116_,89.12µm
net60,89.12µm
net524,89.08µm
RF.registers\[8\]\[22\],88.82µm
_1363_,88.635µm
net396,88.605µm
RF.registers\[10\]\[4\],88.32µm
_2076_,88.2µm
_2724_,88.2µm
_1492_,88.1µm
_1507_,88µm
_2180_,87.88µm
_1506_,87.78µm
_1615_,87.75µm
_1905_,87.23µm
_1258_,87.22µm
RF.registers\[13\]\[16\],86.94µm
net322,85.42µm
net304,85.42µm
_1252_,85.36µm
net496,85.34µm
_2023_,85.26µm
_2209_,85.22µm
RF.registers\[8\]\[6\],85.2µm
_1682_,85.2µm
_1684_,85.16µm
_1589_,84.985µm
_3130_,84.68µm
RF.registers\[10\]\[15\],84.56µm
_1319_,84.36µm
_2762_,84.12µm
_2698_,83.46µm
_1817_,83.43µm
net266,83.02µm
_2217_,82.68µm
DMEM.memory\[0\]\[3\],82.12µm
net371,82.08µm
_2879_,81.78µm
_2132_,81.7µm
_2047_,81.64µm
RF.registers\[3\]\[7\],80.98µm
_1335_,80.9µm
RF.registers\[11\]\[9\],80.88µm
_2102_,80.87µm
_1256_,80.74µm
net498,80.62µm
_2581_,80.46µm
RF.registers\[3\]\[9\],80.285µm
_2656_,80.06µm
_1809_,79.91µm
RF.registers\[5\]\[6\],79.82µm
RF.registers\[5\]\[28\],79.57µm
_2408_,79.28µm
net417,79.165µm
net273,78.835µm
_2200_,78.62µm
RF.registers\[11\]\[1\],78.61µm
RF.registers\[13\]\[26\],78.52µm
_2529_,78.34µm
_2336_,78.24µm
_2427_,77.7µm
net398,77.67µm
RF.registers\[4\]\[5\],77.38µm
_2146_,77.14µm
_1636_,77.04µm
net567,76.9µm
RF.registers\[10\]\[25\],76.86µm
_2278_,76.685µm
net566,76.62µm
_1604_,76.18µm
_2256_,76µm
RF.registers\[8\]\[1\],75.61µm
_1253_,75.46µm
_2176_,75.38µm
RF.registers\[13\]\[12\],75.22µm
net444,74.94µm
RF.registers\[8\]\[11\],74.56µm
_1687_,74.36µm
net325,74.24µm
_1973_,74.06µm
_2419_,73.88µm
RF.registers\[8\]\[3\],73.66µm
_2642_,73.58µm
RF.registers\[8\]\[18\],73.515µm
_2187_,73.24µm
_1969_,73.1µm
net323,73.03µm
_2499_,72.96µm
_2225_,72.87µm
RF.registers\[3\]\[0\],72.78µm
_1292_,72.52µm
_2477_,72.5µm
_1280_,72.15µm
_2195_,72.1µm
_1603_,72.08µm
RF.registers\[12\]\[4\],71.88µm
net68,71.52µm
_2037_,71.48µm
_2123_,71.42µm
_1675_,71.32µm
_1348_,71.255µm
net399,70.55µm
_2053_,70.5µm
RF.registers\[16\]\[29\],70.36µm
net352,70.33µm
_1794_,70.295µm
_1406_,70.14µm
_2249_,70.14µm
net65,69.72µm
_1546_,69.68µm
RF.registers\[8\]\[7\],69.24µm
RF.registers\[2\]\[1\],69.18µm
RF.registers\[10\]\[27\],69.08µm
RF.registers\[16\]\[12\],69µm
_1994_,69µm
_2434_,68.92µm
_1353_,68.82µm
_1745_,68.74µm
_2137_,68.54µm
next_pc\[12\],68.28µm
_2497_,68.22µm
RF.registers\[10\]\[19\],68.16µm
_2451_,68.1µm
_2735_,67.54µm
_0003_,67.43µm
_2488_,67.1µm
RF.registers\[10\]\[1\],67.06µm
RF.registers\[4\]\[4\],67µm
_1540_,66.98µm
_1901_,66.98µm
_1328_,66.82µm
net356,66.78µm
_1497_,66.76µm
_1904_,66.6µm
_2140_,66.6µm
RF.registers\[10\]\[23\],66.55µm
RF.registers\[2\]\[21\],66.52µm
RF.registers\[3\]\[1\],66.42µm
_1672_,66.42µm
RF.registers\[8\]\[10\],66.4µm
_1357_,66.22µm
RF.registers\[8\]\[30\],66.17µm
net484,66.1µm
net19,65.74µm
net451,65.52µm
_2730_,65.48µm
RF.registers\[10\]\[8\],65.44µm
RF.registers\[5\]\[12\],65.38µm
RF.registers\[13\]\[6\],65.09µm
RF.registers\[13\]\[2\],64.9µm
_2592_,64.62µm
RF.registers\[16\]\[30\],64.44µm
RF.registers\[13\]\[28\],64.08µm
DMEM.memory\[0\]\[16\],64.075µm
RF.registers\[4\]\[2\],64.03µm
RF.registers\[12\]\[30\],63.865µm
net299,63.815µm
_1418_,63.7µm
_1964_,63.68µm
RF.registers\[10\]\[3\],63.42µm
net359,62.94µm
net326,62.44µm
_2172_,62.33µm
_1677_,62.24µm
_1976_,62.24µm
_2030_,62.14µm
next_pc\[10\],62.04µm
RF.registers\[8\]\[13\],61.98µm
_2126_,61.88µm
_2290_,61.74µm
RF.registers\[16\]\[19\],61.4µm
_1827_,61.1µm
RF.registers\[13\]\[14\],60.9µm
_2013_,60.78µm
_2010_,60.6µm
RF.registers\[9\]\[0\],60.52µm
RF.registers\[8\]\[8\],60.505µm
net565,60.32µm
_2109_,60.28µm
_1416_,60.22µm
_2877_,60.15µm
_2294_,59.76µm
_2026_,59.705µm
_1503_,59.64µm
_1806_,59.565µm
_2205_,59.48µm
RF.registers\[11\]\[7\],59.46µm
RF.registers\[13\]\[19\],59.4µm
_1281_,59.34µm
RF.registers\[13\]\[18\],59.14µm
_2167_,59.12µm
DMEM.memory\[0\]\[23\],58.8µm
_2041_,58.68µm
RF.registers\[8\]\[2\],58.3µm
_1287_,58.22µm
RF.registers\[10\]\[28\],57.9µm
_1449_,57.69µm
RF.registers\[10\]\[20\],57.56µm
_0231_,57.55µm
RF.registers\[10\]\[13\],57.52µm
net233,57.425µm
RF.registers\[13\]\[17\],57.36µm
RF.registers\[1\]\[2\],57.36µm
RF.registers\[16\]\[15\],57.265µm
RF.registers\[10\]\[2\],57.1µm
RF.registers\[4\]\[10\],57.03µm
RF.registers\[4\]\[13\],56.965µm
_1958_,56.84µm
_1928_,56.8µm
_2006_,56.62µm
RF.registers\[2\]\[14\],56.44µm
next_pc\[9\],56.395µm
net569,56.38µm
_1543_,56.32µm
_2038_,56.29µm
RF.registers\[15\]\[30\],56.285µm
_2238_,56.155µm
_1310_,56.13µm
_1329_,55.9µm
_2150_,55.88µm
_2207_,55.6µm
_2299_,55.56µm
net562,55.34µm
_1342_,55.14µm
_2309_,54.76µm
_1435_,54.7µm
net552,54.65µm
_3132_,54.58µm
RF.registers\[10\]\[22\],54.44µm
RF.registers\[12\]\[29\],54.41µm
RF.registers\[10\]\[11\],54.38µm
RF.registers\[3\]\[10\],54.365µm
_2235_,54.26µm
_1279_,54.16µm
RF.registers\[8\]\[15\],54.06µm
_2321_,54.04µm
RF.registers\[4\]\[0\],53.785µm
_2083_,53.72µm
RF.registers\[3\]\[2\],53.62µm
_1431_,53.58µm
next_pc\[19\],53.505µm
_2228_,53.38µm
RF.registers\[8\]\[4\],53.32µm
_2171_,53.08µm
net42,53.02µm
next_pc\[11\],52.96µm
RF.registers\[4\]\[3\],52.85µm
_2277_,52.84µm
RF.registers\[10\]\[29\],52.655µm
_1300_,52.58µm
_2478_,52.5µm
_2431_,52.46µm
_2783_,52.38µm
RF.registers\[13\]\[21\],52.32µm
_2154_,52.075µm
RF.registers\[13\]\[20\],51.88µm
_2335_,51.84µm
_1266_,51.78µm
_1323_,51.74µm
_1380_,51.58µm
net70,51.46µm
_1470_,51.3µm
RF.registers\[4\]\[1\],51.285µm
_2192_,51.24µm
_2193_,51.24µm
_1415_,50.78µm
_1955_,50.755µm
_1670_,50.7µm
RF.registers\[8\]\[25\],50.52µm
_2122_,50.44µm
_2300_,50.16µm
_1526_,50.15µm
_2091_,50.08µm
_2090_,50.02µm
RF.registers\[13\]\[23\],49.94µm
RF.registers\[3\]\[3\],49.76µm
net420,49.73µm
_1933_,49.5µm
net445,49.39µm
RF.registers\[2\]\[13\],49.145µm
_2148_,49.14µm
_2247_,48.82µm
_1402_,48.72µm
_2590_,48.72µm
RF.registers\[2\]\[10\],48.7µm
RF.registers\[4\]\[9\],48.505µm
RF.registers\[10\]\[31\],48.46µm
_3126_,48.44µm
_2706_,48.24µm
RF.registers\[13\]\[3\],48.2µm
_1394_,48.12µm
_2589_,48.08µm
_2251_,47.96µm
_2284_,47.94µm
_1502_,47.76µm
_2112_,47.76µm
_1477_,47.705µm
RF.registers\[11\]\[13\],47.7µm
next_pc\[20\],47.58µm
_2105_,47.56µm
_1700_,47.5µm
net421,47.205µm
RF.registers\[4\]\[8\],47.18µm
_2428_,47.04µm
_2175_,47µm
RF.registers\[9\]\[1\],46.76µm
_2203_,46.5µm
DMEM.memory\[0\]\[4\],46.48µm
net447,46.32µm
RF.registers\[2\]\[15\],46.3µm
_1949_,46.28µm
_1439_,46.16µm
DMEM.memory\[0\]\[13\],46.14µm
_2760_,46.14µm
net24,46.06µm
DMEM.memory\[0\]\[6\],45.88µm
next_pc\[29\],45.86µm
net553,45.5µm
RF.registers\[16\]\[17\],45.48µm
_1395_,45.3µm
_2498_,45.18µm
RF.registers\[2\]\[11\],45.12µm
_1515_,45.02µm
RF.registers\[8\]\[0\],44.98µm
next_pc\[24\],44.96µm
RF.registers\[3\]\[31\],44.82µm
_1444_,44.82µm
_2624_,44.74µm
_2484_,44.63µm
RF.registers\[2\]\[6\],44.18µm
_1535_,44.14µm
_1735_,44.1µm
RF.registers\[2\]\[7\],44.08µm
RF.registers\[9\]\[10\],44.08µm
_1979_,43.96µm
_2292_,43.88µm
RF.registers\[9\]\[7\],43.8µm
RF.registers\[3\]\[5\],43.515µm
_1717_,43.5µm
_1632_,43.47µm
_2319_,43.395µm
RF.registers\[12\]\[6\],43.38µm
net21,43.22µm
_1923_,43.205µm
RF.registers\[3\]\[11\],42.98µm
RF.registers\[3\]\[4\],42.94µm
RF.registers\[10\]\[9\],42.84µm
_1299_,42.82µm
RF.registers\[13\]\[13\],42.78µm
RF.registers\[11\]\[14\],42.66µm
_1509_,42.635µm
RF.registers\[11\]\[28\],42.56µm
RF.registers\[4\]\[31\],42.545µm
_1770_,42.14µm
_1364_,41.84µm
_2269_,41.82µm
_2504_,41.73µm
_2039_,41.62µm
_1918_,41.6µm
RF.registers\[8\]\[31\],41.595µm
_2840_,41.54µm
RF.registers\[16\]\[16\],41.5µm
_1888_,41.3µm
_1351_,41.24µm
_1424_,41.22µm
_1365_,41.1µm
_1366_,41.02µm
_2257_,40.98µm
RF.registers\[10\]\[26\],40.88µm
RF.registers\[10\]\[30\],40.72µm
RF.registers\[11\]\[19\],40.5µm
_1450_,40.44µm
RF.registers\[3\]\[13\],40.36µm
RF.registers\[16\]\[20\],40.32µm
RF.registers\[16\]\[6\],40.305µm
_1270_,40.28µm
_2213_,40.28µm
RF.registers\[10\]\[24\],40.24µm
_2317_,40.16µm
next_pc\[18\],40.16µm
RF.registers\[9\]\[6\],40.04µm
RF.registers\[10\]\[17\],39.81µm
_2211_,39.75µm
_1429_,39.72µm
_2671_,39.7µm
_2439_,39.68µm
net1186,39.62µm
RF.registers\[4\]\[14\],39.405µm
_1255_,39.36µm
_2641_,39.345µm
RF.registers\[3\]\[23\],39.125µm
RF.registers\[10\]\[10\],39.06µm
RF.registers\[2\]\[12\],39.02µm
_1537_,39.02µm
_1932_,38.98µm
_2481_,38.84µm
_2837_,38.84µm
_2008_,38.82µm
RF.registers\[16\]\[13\],38.54µm
net558,38.475µm
RF.registers\[1\]\[3\],38.4µm
_2007_,38.4µm
_1692_,38.38µm
RF.registers\[11\]\[4\],38.3µm
RF.registers\[3\]\[6\],38.285µm
_2074_,38.28µm
_2437_,38.24µm
_1707_,38.14µm
_2065_,38.14µm
RF.registers\[11\]\[31\],37.88µm
_1510_,37.88µm
_2092_,37.88µm
RF.registers\[13\]\[22\],37.84µm
RF.registers\[3\]\[25\],37.825µm
RF.registers\[3\]\[14\],37.685µm
_1781_,37.68µm
RF.registers\[13\]\[8\],37.48µm
DMEM.memory\[0\]\[24\],37.44µm
next_pc\[28\],37.44µm
RF.registers\[13\]\[15\],37.2µm
_2048_,37.16µm
RF.registers\[4\]\[24\],37.115µm
_1443_,37.09µm
_1986_,36.98µm
RF.registers\[11\]\[11\],36.79µm
RF.registers\[2\]\[31\],36.66µm
_2049_,36.64µm
RF.registers\[16\]\[18\],36.62µm
RF.registers\[16\]\[21\],36.62µm
_1521_,36.52µm
RF.registers\[2\]\[19\],36.46µm
_2024_,36.38µm
RF.registers\[13\]\[9\],36.18µm
_1709_,36.14µm
RF.registers\[3\]\[29\],36.12µm
RF.registers\[10\]\[21\],36.06µm
RF.registers\[8\]\[29\],36.02µm
_1461_,35.9µm
_1789_,35.74µm
next_pc\[17\],35.64µm
_2443_,35.6µm
_2849_,35.58µm
RF.registers\[15\]\[12\],35.54µm
RF.registers\[4\]\[12\],35.46µm
_1612_,35.46µm
_2286_,35.42µm
_2293_,35.38µm
RF.registers\[8\]\[9\],35.24µm
RF.registers\[11\]\[30\],35.22µm
_2223_,35.16µm
_2224_,35.16µm
net501,35.155µm
_1545_,35.08µm
net18,35.02µm
_1782_,35µm
_1500_,34.94µm
_2069_,34.85µm
_1930_,34.84µm
next_pc\[25\],34.805µm
RF.registers\[11\]\[23\],34.7µm
_1417_,34.56µm
net62,34.56µm
_2452_,34.445µm
RF.registers\[8\]\[20\],34.34µm
_2471_,34.3µm
RF.registers\[5\]\[31\],34.26µm
RF.registers\[16\]\[14\],34.18µm
RF.registers\[3\]\[30\],34.18µm
_1498_,34.18µm
_2280_,34.055µm
_1655_,34.02µm
RF.registers\[9\]\[15\],33.96µm
_1277_,33.94µm
RF.registers\[8\]\[12\],33.92µm
_2454_,33.92µm
net466,33.92µm
_2071_,33.88µm
RF.registers\[8\]\[28\],33.74µm
net55,33.72µm
_2159_,33.535µm
_2510_,33.51µm
_2489_,33.48µm
next_pc\[14\],33.46µm
_2027_,33.4µm
net1102,33.38µm
RF.registers\[4\]\[7\],33.295µm
_2526_,33.24µm
_1706_,33.18µm
RF.registers\[13\]\[0\],33.06µm
_1908_,33.045µm
next_pc\[22\],32.98µm
_2036_,32.94µm
net39,32.92µm
RF.registers\[8\]\[21\],32.84µm
RF.registers\[2\]\[29\],32.78µm
_1922_,32.775µm
_1484_,32.76µm
_2052_,32.76µm
_2183_,32.61µm
RF.registers\[3\]\[19\],32.54µm
RF.registers\[9\]\[29\],32.5µm
_2509_,32.32µm
RF.registers\[11\]\[29\],32.3µm
RF.registers\[8\]\[23\],32.24µm
_1773_,32.06µm
_1791_,32.04µm
RF.registers\[4\]\[23\],32.02µm
_1343_,32µm
RF.registers\[9\]\[31\],31.98µm
net1216,31.98µm
_2240_,31.94µm
RF.registers\[8\]\[16\],31.8µm
net999,31.8µm
DMEM.memory\[0\]\[25\],31.76µm
_1563_,31.76µm
_2432_,31.7µm
_2560_,31.68µm
_2620_,31.66µm
net41,31.66µm
RF.registers\[2\]\[18\],31.64µm
_1421_,31.62µm
RF.registers\[8\]\[17\],31.61µm
RF.registers\[16\]\[7\],31.58µm
_1333_,31.56µm
net1192,31.46µm
_1378_,31.44µm
_2646_,31.44µm
_2750_,31.32µm
_2421_,31.3µm
_2436_,31.3µm
_2679_,31.29µm
_1797_,31.24µm
DMEM.memory\[0\]\[26\],31.18µm
_1942_,31.18µm
DMEM.memory\[0\]\[8\],31.065µm
_1408_,31.03µm
_2615_,30.9µm
_2015_,30.8µm
RF.registers\[15\]\[3\],30.74µm
_2275_,30.56µm
RF.registers\[13\]\[7\],30.39µm
_2233_,30.28µm
_1527_,30.24µm
_2106_,30µm
_1978_,29.92µm
_2222_,29.92µm
_2281_,29.9µm
_2089_,29.88µm
_2506_,29.76µm
_2508_,29.62µm
RF.registers\[16\]\[23\],29.6µm
_2732_,29.6µm
_1698_,29.575µm
_1534_,29.56µm
DMEM.memory\[15\]\[7\],29.53µm
RF.registers\[13\]\[4\],29.5µm
next_pc\[13\],29.4µm
_1523_,29.38µm
_2283_,29.36µm
net221,29.36µm
RF.registers\[16\]\[1\],29.22µm
_2097_,29.16µm
_2423_,29.16µm
_1626_,29.12µm
