net,length_um
_2882_,518.24µm
net438,513.13µm
reset,460.9µm
clknet_0_clk,458.92µm
net329,458.8µm
net508,458.55µm
net298,451.7µm
net390,419.69µm
_1455_,388.34µm
net517,384.36µm
net368,375.35µm
_1557_,374.62µm
net448,363.26µm
_2917_,362.01µm
net546,361.22µm
net455,358.46µm
net386,350.09µm
net389,345.02µm
net429,342.77µm
_2580_,341.55µm
net436,338.57µm
_1382_,337.53µm
net451,336.41µm
net542,336.18µm
_1320_,336.17µm
net315,333.65µm
net344,330.97µm
net383,329.78µm
net437,327.88µm
_1464_,327.285µm
net506,322.75µm
net302,319.54µm
DMEM.memory\[0\]\[17\],316.64µm
net299,313.91µm
net445,310.57µm
_2632_,306.8µm
_2985_,303.75µm
net305,300.565µm
net446,299.74µm
net334,294.235µm
RF.registers\[12\]\[10\],291.81µm
net341,291.24µm
RF.registers\[12\]\[3\],290.355µm
clk,289.53µm
DMEM.memory\[0\]\[16\],287.82µm
net379,287.77µm
net309,286.82µm
net444,286.595µm
net352,285.93µm
net394,285.03µm
clknet_3_0__leaf_clk,277µm
net303,276.815µm
net420,274.385µm
net267,272.64µm
net414,269.2µm
net396,268.97µm
net547,263.02µm
net380,261.3µm
net68,260.9µm
net18,259.86µm
net316,259.64µm
_2923_,259.6µm
RF.registers\[12\]\[22\],258.98µm
net485,257.92µm
_1293_,257.91µm
net365,257.64µm
net399,256.28µm
net330,255.7µm
net46,255.04µm
RF.registers\[12\]\[25\],254.485µm
net338,254.18µm
net306,253.86µm
net333,252.365µm
_1627_,249.88µm
clknet_3_5__leaf_clk,247.74µm
net349,247.615µm
net196,245.81µm
clknet_3_7__leaf_clk,245.25µm
RF.registers\[12\]\[5\],244.89µm
net377,244.74µm
RF.registers\[12\]\[30\],244.025µm
_1473_,242.87µm
RF.registers\[12\]\[23\],242.46µm
net443,241.43µm
net548,240.51µm
_1264_,239.68µm
clknet_3_2__leaf_clk,238.245µm
RF.registers\[12\]\[31\],237.67µm
net433,237.39µm
net310,236.08µm
net432,235.68µm
_1263_,233.495µm
net342,232.35µm
clknet_3_1__leaf_clk,231.46µm
net314,230.095µm
net336,230.025µm
DMEM.memory\[0\]\[4\],230µm
net317,229.73µm
net308,229.41µm
clknet_3_6__leaf_clk,228.68µm
net72,227.39µm
RF.registers\[12\]\[11\],227.265µm
RF.registers\[12\]\[21\],226.7µm
_1486_,225.85µm
_2157_,225.07µm
net26,225µm
_1312_,224.84µm
net407,223.98µm
RF.registers\[12\]\[18\],223.15µm
net62,223.03µm
net381,220.27µm
_1460_,217.22µm
RF.registers\[12\]\[6\],216.12µm
RF.registers\[12\]\[13\],213.88µm
clknet_leaf_30_clk,213.77µm
RF.registers\[12\]\[29\],213.525µm
net431,213.47µm
net347,213.23µm
clknet_3_4__leaf_clk,212.62µm
net385,210.93µm
RF.registers\[12\]\[20\],210.36µm
net395,209.26µm
RF.registers\[12\]\[1\],208.98µm
net530,208.56µm
net69,205.95µm
DMEM.memory\[0\]\[7\],205.86µm
net518,205.81µm
net364,205.64µm
RF.registers\[12\]\[9\],204.81µm
net54,204.6µm
_1656_,203.74µm
net442,203.4µm
_3133_,202.53µm
net51,202.14µm
net392,201.36µm
net535,201.1µm
net410,200.89µm
_1604_,199.57µm
net55,198.8µm
net353,198.695µm
net337,198.64µm
DMEM.memory\[0\]\[12\],198.08µm
RF.registers\[12\]\[28\],197.105µm
_2581_,197.1µm
net476,196.76µm
net265,196.31µm
_1341_,196.18µm
RF.registers\[12\]\[19\],195.96µm
_2332_,195.5µm
_2371_,195.4µm
clknet_leaf_8_clk,194.98µm
RF.registers\[12\]\[27\],194.96µm
net474,194.92µm
net397,194.7µm
net534,194.645µm
net457,193.22µm
net441,193.105µm
clknet_leaf_17_clk,192.635µm
net413,192.33µm
net319,191.125µm
net60,190.82µm
net52,190.64µm
net376,189.625µm
net519,189.16µm
clknet_leaf_21_clk,188.46µm
net419,188.285µm
net35,188.24µm
net469,188.2µm
clknet_leaf_42_clk,188.08µm
_1345_,188.05µm
net41,187.57µm
net393,187.42µm
net406,186.56µm
net374,184.615µm
clknet_3_3__leaf_clk,184.02µm
net28,183.96µm
net466,183.73µm
net525,183.69µm
net435,183.64µm
net348,183.15µm
net529,183.04µm
net64,183.04µm
net464,182.9µm
_1554_,182.385µm
net427,181.955µm
net416,179.915µm
net282,179.425µm
net489,179.28µm
RF.registers\[12\]\[2\],179.265µm
net264,179.08µm
net526,178.12µm
net440,177.805µm
net49,177.26µm
net372,176.68µm
net304,174.96µm
net475,174.51µm
net478,174.5µm
net398,174.31µm
RF.registers\[10\]\[24\],174.18µm
clknet_leaf_19_clk,173.96µm
_1768_,173.94µm
net57,173.74µm
_2327_,173.25µm
clknet_leaf_29_clk,172.9µm
_1369_,172.79µm
net481,171.64µm
net45,170.895µm
clknet_leaf_7_clk,170.88µm
_1409_,170.68µm
_1550_,170.2µm
clknet_leaf_18_clk,169.26µm
net524,168.98µm
net360,168.92µm
net439,168.73µm
clknet_leaf_39_clk,168.02µm
net370,167.04µm
net460,167.03µm
net325,166.5µm
net523,166.44µm
net421,165.925µm
net573,165.85µm
clknet_leaf_22_clk,165.685µm
net400,165.225µm
net50,165.1µm
_1773_,165µm
_1651_,164.96µm
net527,164.675µm
clknet_leaf_38_clk,164.3µm
_1669_,164.255µm
_1562_,163.58µm
net275,163.41µm
clknet_leaf_24_clk,163.28µm
_1350_,162.9µm
net471,162.88µm
clknet_leaf_25_clk,162.86µm
net536,162.72µm
_1298_,162.57µm
net263,162.42µm
net284,162.405µm
net359,162.2µm
clknet_leaf_20_clk,162.02µm
net58,161.96µm
_2138_,161.93µm
net273,161.45µm
net412,160.785µm
net43,160.66µm
net521,160.52µm
_1658_,160.385µm
_2852_,160.36µm
_2830_,160.18µm
net417,160.06µm
net37,159.46µm
clknet_leaf_26_clk,159.44µm
_2671_,159.34µm
net70,158.89µm
clknet_leaf_9_clk,158.88µm
net20,158.6µm
clknet_leaf_6_clk,158.4µm
clknet_leaf_32_clk,158.18µm
clknet_leaf_37_clk,157.5µm
clknet_leaf_28_clk,157.22µm
net467,157µm
clknet_leaf_16_clk,155.98µm
net339,155.85µm
RF.registers\[12\]\[14\],155.67µm
net515,155.525µm
net461,155.52µm
net531,155.16µm
net533,155.07µm
net313,154.96µm
net426,154.805µm
net472,154.72µm
net287,154.44µm
net332,153.71µm
RF.registers\[10\]\[26\],153.55µm
net501,153.48µm
net404,153.4µm
_1637_,153.26µm
net402,153.07µm
clknet_leaf_43_clk,152.82µm
clknet_leaf_36_clk,152.44µm
clknet_leaf_40_clk,151.9µm
net462,151.82µm
clknet_leaf_31_clk,151.56µm
net343,151.47µm
clknet_leaf_34_clk,151.38µm
net409,151.27µm
net266,151.12µm
_2865_,150.95µm
net473,150.86µm
net280,150.27µm
net346,150.11µm
_1672_,150µm
_2542_,149.72µm
net520,149.72µm
net270,149.7µm
clknet_leaf_27_clk,149.7µm
net484,149.58µm
RF.registers\[12\]\[12\],149.3µm
