net,length_um
_2547_,190.48µm
net280,190.285µm
net323,190.08µm
net553,189.84µm
_1463_,189.58µm
net333,189.005µm
net389,188.95µm
_2803_,188.775µm
RF.registers\[12\]\[26\],188.37µm
net326,188.22µm
clknet_leaf_43_clk,188.015µm
net385,187.83µm
net324,187.56µm
net34,186.92µm
RF.registers\[12\]\[28\],186.3µm
net55,185.94µm
clknet_leaf_21_clk,185.87µm
_2327_,185.76µm
clknet_leaf_44_clk,185.24µm
_2269_,185.06µm
_1409_,185.04µm
clknet_leaf_9_clk,184.9µm
net29,184.79µm
net420,184.28µm
net322,183.875µm
net530,183.52µm
_1347_,183.02µm
net548,182.94µm
net410,181.71µm
net541,181.575µm
net45,181.46µm
net574,181.06µm
_1516_,180.9µm
net423,180.52µm
net364,180.47µm
_1320_,180.21µm
net441,180.21µm
clknet_leaf_8_clk,179.96µm
net407,179.045µm
net527,178.76µm
clknet_leaf_17_clk,178.58µm
net270,177.65µm
net293,177.395µm
_2698_,177.3µm
net444,177.05µm
net48,176.99µm
_2604_,176.39µm
RF.registers\[16\]\[20\],176.38µm
_2336_,176µm
net413,175.545µm
_2724_,175.445µm
net445,175.37µm
DMEM.memory\[8\]\[23\],175.24µm
_1947_,173.58µm
net301,173.47µm
net508,173.46µm
net426,173.285µm
clknet_3_3__leaf_clk,172.615µm
RF.registers\[5\]\[27\],172.3µm
clknet_leaf_5_clk,171.92µm
_2338_,171.82µm
_2671_,171.16µm
clknet_leaf_40_clk,170.24µm
net396,169.78µm
net451,169.71µm
net292,169.505µm
_2563_,168.7µm
net421,168.67µm
net66,168.52µm
net556,168.19µm
net286,167.79µm
_2256_,167.78µm
clknet_leaf_10_clk,167.3µm
_1904_,166.12µm
net399,165.92µm
clknet_leaf_41_clk,165.3µm
RF.registers\[3\]\[8\],164.93µm
_2642_,164.74µm
_2465_,163.87µm
net266,163.65µm
net402,163.28µm
_2751_,163.02µm
net27,162.9µm
_2157_,162.76µm
net291,161.44µm
net395,161.23µm
clknet_leaf_29_clk,160.74µm
clknet_leaf_28_clk,160.7µm
net299,160.495µm
RF.registers\[2\]\[0\],160.44µm
_1651_,160.12µm
net447,160.12µm
net327,159.66µm
_1363_,159.39µm
net17,159.26µm
RF.registers\[12\]\[5\],158.83µm
clknet_leaf_18_clk,158.3µm
net552,158.16µm
net290,158.145µm
net316,158.14µm
net296,158.09µm
_1361_,157.88µm
_1348_,157.855µm
net418,157.79µm
RF.registers\[12\]\[29\],157.56µm
_1637_,157.315µm
net528,157.28µm
net338,157.245µm
next_pc\[8\],156.86µm
_2582_,156.7µm
RF.registers\[8\]\[8\],156.67µm
next_pc\[12\],156.2µm
RF.registers\[11\]\[25\],156.06µm
net281,155.755µm
clknet_leaf_38_clk,155.46µm
_1303_,155.38µm
RF.registers\[12\]\[31\],155.36µm
net272,154.7µm
net547,154.4µm
clknet_leaf_19_clk,154.26µm
clknet_leaf_6_clk,154.16µm
clknet_leaf_23_clk,153.83µm
net61,153.6µm
net538,153.4µm
net344,153.18µm
_1776_,153.16µm
_2116_,152.68µm
clknet_leaf_14_clk,152.475µm
clknet_leaf_34_clk,152.38µm
_2276_,152.12µm
net282,150.95µm
clknet_leaf_2_clk,150.7µm
_1321_,150.24µm
clknet_leaf_13_clk,150.06µm
net411,150.01µm
clknet_leaf_39_clk,148.84µm
_1501_,148.32µm
net576,147.67µm
net459,147.52µm
RF.registers\[10\]\[5\],147.385µm
_2775_,147.35µm
net373,147.32µm
_1687_,146.98µm
_2865_,146.88µm
net571,146.8µm
net536,146.4µm
_2200_,146.36µm
_2337_,146.03µm
net534,145.92µm
clknet_leaf_15_clk,145.825µm
_2262_,145.22µm
net42,145.085µm
net271,144.79µm
_2261_,143.875µm
RF.registers\[2\]\[12\],143.79µm
net532,143.52µm
clknet_leaf_1_clk,143.24µm
net531,143.11µm
_1708_,142.48µm
_1954_,141.9µm
clknet_leaf_45_clk,141.82µm
_2735_,141.82µm
clknet_leaf_12_clk,141.54µm
net537,141.16µm
net321,140.81µm
clknet_leaf_35_clk,140.7µm
net287,140.51µm
clknet_leaf_22_clk,140.36µm
net493,139.95µm
_2030_,139.78µm
net494,139.61µm
net51,139.46µm
net422,139.205µm
clknet_leaf_27_clk,139.2µm
clknet_leaf_26_clk,138.74µm
net288,138.695µm
net285,138.45µm
RF.registers\[8\]\[11\],138.42µm
RF.registers\[13\]\[20\],138.36µm
RF.registers\[12\]\[1\],137.98µm
_2193_,137.62µm
RF.registers\[11\]\[7\],137.44µm
clknet_leaf_36_clk,137.22µm
net549,136.84µm
clknet_leaf_16_clk,136.36µm
net539,136.36µm
net430,135.88µm
net294,135.875µm
net330,135.77µm
alu_result_out[6],135.64µm
_2104_,135.48µm
net277,135.38µm
clknet_leaf_0_clk,135.27µm
net65,135.1µm
RF.registers\[10\]\[12\],134.9µm
pc_out[24],134.77µm
RF.registers\[12\]\[12\],134.42µm
pc_out[25],134.16µm
RF.registers\[3\]\[7\],134µm
net550,133.995µm
net432,133.845µm
net361,133.375µm
_2477_,133.3µm
clknet_leaf_33_clk,133.13µm
net295,132.445µm
_1669_,132.325µm
_1311_,132.1µm
clknet_leaf_24_clk,132.08µm
RF.registers\[12\]\[11\],132.01µm
RF.registers\[13\]\[19\],131.88µm
_2617_,131.52µm
net196,131.5µm
DMEM.memory\[15\]\[16\],131.34µm
net53,131.28µm
_2427_,131.06µm
reset,130.24µm
_1337_,130.035µm
_2095_,129.9µm
_2208_,129.2µm
_1863_,129.1µm
net353,128.89µm
_1281_,128.75µm
_2419_,128.08µm
RF.registers\[10\]\[18\],127.96µm
net354,127.84µm
_1664_,127.435µm
_1253_,127.24µm
net348,125.715µm
RF.registers\[12\]\[8\],125.245µm
RF.registers\[12\]\[13\],125.22µm
DMEM.memory\[11\]\[23\],125.01µm
RF.registers\[11\]\[17\],124.98µm
clknet_leaf_30_clk,124.77µm
net76,124.455µm
net355,124.43µm
clknet_leaf_46_clk,124.26µm
net504,123.92µm
net428,123.875µm
net455,123.7µm
_2861_,123.56µm
net289,123.395µm
RF.registers\[10\]\[2\],123.18µm
DMEM.memory\[12\]\[16\],123.15µm
_1627_,123.09µm
clknet_leaf_31_clk,120.4µm
net461,119.71µm
clknet_leaf_25_clk,119.385µm
RF.registers\[12\]\[3\],119.3µm
RF.registers\[12\]\[10\],119.18µm
_1472_,119.08µm
_1493_,119.06µm
net372,119.02µm
alu_result_out[5],118.46µm
net334,118.395µm
RF.registers\[13\]\[25\],117.9µm
RF.registers\[8\]\[22\],117.845µm
RF.registers\[16\]\[21\],117.68µm
_1355_,117.66µm
RF.registers\[16\]\[14\],117.5µm
_1775_,117.38µm
net300,117.245µm
RF.registers\[10\]\[3\],117.04µm
_1632_,116.77µm
RF.registers\[8\]\[18\],116.74µm
RF.registers\[8\]\[7\],116.72µm
RF.registers\[5\]\[6\],116.51µm
RF.registers\[12\]\[27\],116.42µm
_1565_,116.29µm
_2023_,116.27µm
_1745_,116.06µm
_1335_,115.88µm
_2217_,115.88µm
DMEM.memory\[7\]\[7\],115.78µm
_1540_,115.66µm
_2186_,115.56µm
net602,115.125µm
_1623_,115.06µm
net460,115.01µm
clknet_leaf_32_clk,114.8µm
RF.registers\[10\]\[19\],114.58µm
clknet_leaf_37_clk,114.54µm
_2083_,114.12µm
net656,114.105µm
_2731_,114.06µm
_1283_,113.74µm
RF.registers\[16\]\[23\],113.67µm
_1290_,113.27µm
RF.registers\[4\]\[6\],113.26µm
RF.registers\[12\]\[30\],113.075µm
_1357_,112.885µm
_1630_,112.74µm
_2290_,112.12µm
_2656_,112.11µm
RF.registers\[8\]\[6\],111.86µm
_2049_,111.54µm
net380,111.42µm
RF.registers\[13\]\[21\],111.12µm
net429,111.03µm
net367,110.84µm
_1507_,110.76µm
_1713_,110.34µm
_1492_,109.865µm
RF.registers\[10\]\[27\],109.86µm
_1729_,109.58µm
net621,109.325µm
next_pc\[10\],109µm
RF.registers\[10\]\[8\],108.86µm
net360,108.83µm
_2076_,108.78µm
_1969_,108.62µm
RF.registers\[2\]\[6\],108.5µm
net21,108.32µm
net328,108µm
_2818_,107.96µm
net58,107.6µm
RF.registers\[12\]\[9\],107.52µm
net578,107.18µm
_2879_,107.04µm
net284,107.005µm
_2246_,106.73µm
net339,106.625µm
_1258_,105.8µm
_1252_,105.4µm
_1360_,105.2µm
pc_out[26],105.15µm
_2066_,104.86µm
DMEM.memory\[9\]\[23\],104.7µm
_2167_,104.68µm
next_pc\[16\],104.67µm
net414,104.52µm
net405,104.335µm
RF.registers\[8\]\[0\],104.28µm
_1594_,104.08µm
net375,103.83µm
_1677_,103.8µm
net274,103.26µm
next_pc\[13\],103.19µm
_1389_,102.785µm
_1369_,102.5µm
DMEM.memory\[13\]\[16\],102.36µm
RF.registers\[11\]\[9\],102.32µm
RF.registers\[3\]\[23\],102.2µm
_1491_,101.91µm
next_pc\[11\],101.8µm
_2156_,101.6µm
_2531_,101.52µm
_2021_,101.32µm
_2225_,101.05µm
_1584_,100.615µm
net31,100.6µm
net269,100.55µm
_1380_,100.46µm
next_pc\[14\],100.06µm
_1768_,99.89µm
_2090_,99.72µm
net52,99.72µm
_1648_,99.7µm
net279,99.49µm
RF.registers\[13\]\[14\],99.26µm
RF.registers\[12\]\[14\],99.14µm
_2499_,97.88µm
next_pc\[22\],97.78µm
_1438_,97.7µm
net462,97.6µm
net425,97.385µm
net25,97.28µm
net39,97.18µm
_2099_,97.04µm
net358,96.505µm
_2137_,96.42µm
RF.registers\[15\]\[3\],95.53µm
net273,95.425µm
RF.registers\[10\]\[15\],95.21µm
_1435_,95.2µm
_1343_,95.1µm
net507,94.92µm
_1615_,94.8µm
net325,94.665µm
RF.registers\[4\]\[8\],94.46µm
_1735_,94.08µm
_2840_,93.8µm
_2837_,93.78µm
_2037_,93.3µm
_1402_,93.22µm
RF.registers\[12\]\[7\],92.86µm
net406,92.72µm
net463,92.68µm
_2484_,92.52µm
RF.registers\[10\]\[4\],92.5µm
_2876_,92.46µm
net41,92.42µm
net622,92.385µm
_2190_,91.76µm
_1682_,91.68µm
DMEM.memory\[4\]\[7\],90.98µm
RF.registers\[13\]\[22\],90.92µm
net72,90.9µm
net609,90.325µm
_2278_,90.305µm
net329,90.08µm
net577,89.99µm
net458,89.85µm
RF.registers\[8\]\[14\],89.5µm
_2140_,89.5µm
_1395_,89.46µm
_2179_,88.81µm
DMEM.memory\[0\]\[8\],88.645µm
_2171_,88.38µm
RF.registers\[3\]\[9\],88.34µm
net828,88.265µm
RF.registers\[13\]\[6\],88.12µm
net506,88.04µm
_1328_,88.02µm
_1589_,87.79µm
RF.registers\[3\]\[28\],87.74µm
_2151_,87.56µm
_2154_,87.275µm
_2669_,87.26µm
_1310_,87.02µm
_1948_,86.66µm
net365,86.58µm
_2581_,86.42µm
_1460_,86.23µm
net580,86.18µm
DMEM.memory\[24\]\[23\],86.12µm
_1827_,86.08µm
_2249_,86µm
net278,85.73µm
_2730_,85.6µm
RF.registers\[12\]\[0\],85.54µm
DMEM.memory\[14\]\[16\],85.45µm
net35,85.2µm
_2046_,85.02µm
_2414_,84.94µm
net575,84.86µm
_1667_,84.78µm
RF.registers\[8\]\[19\],84.64µm
RF.registers\[8\]\[25\],84.48µm
net509,84.305µm
net705,83.46µm
_2204_,83.16µm
RF.registers\[13\]\[23\],83.12µm
net28,83.12µm
RF.registers\[4\]\[22\],82.755µm
_2205_,82.635µm
net570,82.58µm
RF.registers\[8\]\[10\],82.285µm
RF.registers\[4\]\[17\],82.25µm
_2646_,81.92µm
_1803_,81.825µm
_2180_,81.48µm
_2006_,81.22µm
RF.registers\[8\]\[20\],81.2µm
_2022_,81.02µm
_2783_,80.96µm
RF.registers\[4\]\[7\],80.92µm
DMEM.memory\[26\]\[23\],80.86µm
_1427_,80.86µm
RF.registers\[11\]\[11\],80.8µm
_2132_,80.71µm
RF.registers\[10\]\[10\],80.44µm
net437,79.98µm
RF.registers\[10\]\[1\],79.96µm
RF.registers\[8\]\[1\],79.92µm
_2149_,79.8µm
RF.registers\[13\]\[18\],79.5µm
_1300_,79.34µm
next_pc\[5\],78.94µm
_1270_,78.74µm
RF.registers\[12\]\[4\],78.54µm
net298,78.415µm
_2123_,77.46µm
RF.registers\[16\]\[17\],77.32µm
RF.registers\[13\]\[12\],77.06µm
_1722_,76.68µm
_1295_,76.62µm
_2641_,76.34µm
_2228_,76.32µm
net276,76.14µm
_2058_,76.08µm
_2285_,75.96µm
_1961_,75.69µm
_1326_,75.6µm
_1506_,75.6µm
net379,75.58µm
RF.registers\[8\]\[3\],75.38µm
RF.registers\[13\]\[29\],75.135µm
_1406_,75.08µm
RF.registers\[16\]\[22\],75.04µm
_2434_,75µm
net431,74.625µm
_1510_,74.28µm
_1655_,74.08µm
_3130_,73.9µm
_1418_,73.84µm
RF.registers\[8\]\[31\],73.79µm
RF.registers\[5\]\[12\],73.78µm
net1208,73.64µm
_1342_,73.62µm
RF.registers\[10\]\[13\],73.42µm
RF.registers\[10\]\[22\],73.26µm
_2456_,72.99µm
next_pc\[9\],72.96µm
_1994_,72.9µm
net667,72.82µm
_1905_,72.42µm
_2162_,72.36µm
_2170_,72.28µm
net75,72.2µm
_2026_,72.195µm
RF.registers\[13\]\[24\],71.925µm
RF.registers\[3\]\[0\],71.78µm
_1707_,71.74µm
_1256_,71.62µm
_2809_,71.5µm
RF.registers\[9\]\[0\],71.46µm
_2788_,71.215µm
alu_result_out[4],71.12µm
RF.registers\[4\]\[14\],71.06µm
_2733_,71µm
RF.registers\[3\]\[15\],70.96µm
_2176_,70.8µm
RF.registers\[8\]\[13\],70.38µm
_2257_,70.18µm
_1987_,70.08µm
net456,70.02µm
_1558_,69.86µm
_2516_,69.76µm
_1287_,68.82µm
_2292_,68.82µm
RF.registers\[13\]\[26\],68.7µm
RF.registers\[2\]\[13\],68.58µm
RF.registers\[4\]\[28\],68.54µm
_2102_,68.44µm
_1497_,68.43µm
_2100_,68.4µm
RF.registers\[4\]\[23\],68.31µm
RF.registers\[13\]\[28\],68.2µm
RF.registers\[10\]\[17\],68.12µm
_1397_,68.085µm
_2481_,67.64µm
_1546_,67.4µm
_2277_,67.39µm
RF.registers\[10\]\[23\],67.36µm
_1636_,67.28µm
net67,67.26µm
_3132_,67.1µm
net386,67.1µm
_1503_,66.56µm
_2109_,66.42µm
_1684_,66.34µm
_2309_,66.18µm
net563,66.16µm
_2238_,66.08µm
net433,65.925µm
_1268_,65.86µm
DMEM.memory\[0\]\[7\],65.835µm
_2444_,65.82µm
_1670_,65.8µm
_2010_,65.66µm
RF.registers\[16\]\[4\],65.6µm
_1470_,65.42µm
net70,65.32µm
_2294_,64.74µm
RF.registers\[13\]\[9\],64.54µm
RF.registers\[13\]\[1\],64.42µm
RF.registers\[4\]\[31\],64.22µm
_1545_,64.2µm
RF.registers\[4\]\[3\],64.07µm
_2091_,63.96µm
_2589_,63.82µm
_1431_,63.74µm
_1933_,63.73µm
RF.registers\[10\]\[7\],63.72µm
net297,63.67µm
_1334_,63.64µm
RF.registers\[3\]\[4\],63.56µm
net376,63.5µm
_2247_,63.1µm
_1543_,63.08µm
net781,63.005µm
_1976_,62.88µm
net62,62.84µm
_1983_,62.78µm
_2694_,62.62µm
_1483_,62.24µm
_2223_,62.16µm
DMEM.memory\[0\]\[5\],62.02µm
_1416_,62µm
net33,61.7µm
_1964_,61.68µm
RF.registers\[4\]\[20\],61.64µm
net581,61.54µm
RF.registers\[10\]\[25\],61.52µm
_1715_,61.42µm
_1990_,61.14µm
_2445_,61.11µm
_1732_,60.94µm
RF.registers\[13\]\[7\],60.84µm
_1817_,60.79µm
_1498_,60.78µm
RF.registers\[1\]\[2\],60.74µm
RF.registers\[10\]\[20\],60.58µm
RF.registers\[4\]\[15\],60.525µm
_2436_,60.34µm
_1535_,60.08µm
_2321_,59.88µm
RF.registers\[9\]\[14\],59.86µm
RF.registers\[10\]\[0\],59.82µm
DMEM.memory\[4\]\[16\],59.78µm
RF.registers\[1\]\[22\],59.62µm
RF.registers\[16\]\[18\],59.6µm
_1604_,59.44µm
_2126_,59.44µm
_1476_,59.36µm
_1378_,59.3µm
RF.registers\[2\]\[20\],59.26µm
RF.registers\[10\]\[21\],59.08µm
RF.registers\[8\]\[28\],59.02µm
RF.registers\[11\]\[14\],58.96µm
RF.registers\[9\]\[22\],58.8µm
_2002_,58.7µm
RF.registers\[11\]\[18\],58.675µm
RF.registers\[13\]\[27\],58.62µm
_1299_,58.56µm
_2146_,58.48µm
_1791_,58.28µm
_2789_,57.995µm
_2098_,57.84µm
_1714_,57.82µm
RF.registers\[16\]\[31\],57.72µm
_1408_,57.71µm
_2213_,57.39µm
_2765_,57.36µm
_1973_,57.34µm
_2488_,57.22µm
_2483_,57.065µm
_2696_,57.04µm
RF.registers\[11\]\[13\],56.96µm
_1778_,56.94µm
_2155_,56.86µm
_2275_,56.86µm
_1293_,56.84µm
_1675_,56.82µm
_2027_,56.82µm
_1923_,56.645µm
_1359_,56.64µm
DMEM.memory\[10\]\[23\],56.525µm
_2439_,56.4µm
_2431_,56.14µm
_2428_,56.08µm
DMEM.memory\[6\]\[16\],56.06µm
RF.registers\[3\]\[12\],56.02µm
_2443_,55.96µm
_2264_,55.88µm
RF.registers\[3\]\[2\],55.86µm
_1443_,55.69µm
RF.registers\[2\]\[23\],55.68µm
RF.registers\[16\]\[12\],55.32µm
_2849_,55.1µm
_1329_,55.06µm
net559,54.78µm
_2016_,54.68µm
_2590_,54.48µm
_1797_,54.415µm
_2198_,54.2µm
_1770_,54.16µm
RF.registers\[4\]\[9\],54.15µm
_2206_,54.1µm
_1354_,53.88µm
_2319_,53.855µm
next_pc\[17\],53.72µm
RF.registers\[13\]\[31\],53.7µm
net304,53.65µm
_0382_,53.33µm
RF.registers\[13\]\[30\],53.045µm
net68,52.98µm
DMEM.memory\[19\]\[16\],52.78µm
_2052_,52.76µm
DMEM.memory\[11\]\[16\],52.72µm
RF.registers\[3\]\[17\],52.63µm
_2652_,52.6µm
_2421_,52.38µm
RF.registers\[4\]\[29\],52.335µm
_1978_,52.22µm
net54,52.18µm
_1400_,52µm
_2706_,51.9µm
RF.registers\[16\]\[6\],51.805µm
_2053_,51.58µm
_2417_,51.54µm
DMEM.memory\[5\]\[16\],51.48µm
_1773_,51.28µm
net613,51.245µm
DMEM.memory\[19\]\[23\],51.24µm
_1353_,51.2µm
RF.registers\[4\]\[18\],51.165µm
_1424_,50.94µm
_1449_,50.9µm
_2325_,50.76µm
RF.registers\[16\]\[29\],50.48µm
_2209_,50.38µm
RF.registers\[8\]\[15\],50.32µm
next_pc\[19\],50.265µm
pc_out[28],50.25µm
_2432_,50.22µm
DMEM.memory\[30\]\[17\],50.155µm
net47,50.13µm
_1319_,50.08µm
RF.registers\[12\]\[15\],49.98µm
_2558_,49.98µm
RF.registers\[3\]\[25\],49.93µm
RF.registers\[2\]\[1\],49.86µm
DMEM.memory\[17\]\[16\],49.695µm
RF.registers\[3\]\[20\],49.66µm
_2131_,49.66µm
net71,49.66µm
alu_result_out[1],49.6µm
RF.registers\[5\]\[28\],49.46µm
_2300_,49.36µm
_1957_,49.32µm
RF.registers\[8\]\[9\],49.26µm
_1439_,49.22µm
_2639_,49.2µm
_1806_,49.12µm
RF.registers\[5\]\[7\],49µm
RF.registers\[13\]\[8\],48.98µm
DMEM.memory\[31\]\[16\],48.82µm
RF.registers\[11\]\[15\],48.81µm
RF.registers\[3\]\[1\],48.6µm
RF.registers\[12\]\[2\],48.54µm
net568,48.4µm
_1477_,48.37µm
DMEM.memory\[0\]\[4\],48.28µm
RF.registers\[1\]\[25\],48.26µm
_2120_,48.22µm
_1937_,48.16µm
DMEM.memory\[5\]\[23\],48.14µm
_1918_,48.1µm
_1718_,47.94µm
DMEM.memory\[9\]\[7\],47.92µm
_2471_,47.88µm
_2251_,47.86µm
net747,47.765µm
DMEM.memory\[18\]\[23\],47.7µm
_2033_,47.64µm
pc_out[27],47.53µm
_2790_,47.5µm
_2592_,47.46µm
DMEM.memory\[7\]\[16\],47.28µm
_2184_,47.22µm
_2159_,47.2µm
RF.registers\[16\]\[9\],47.18µm
RF.registers\[16\]\[19\],47.02µm
RF.registers\[4\]\[5\],46.92µm
DMEM.memory\[28\]\[17\],46.84µm
_2482_,46.76µm
_2270_,46.64µm
DMEM.memory\[4\]\[23\],46.44µm
RF.registers\[9\]\[23\],46.44µm
RF.registers\[13\]\[17\],46.42µm
_1484_,46.3µm
_1809_,46.245µm
RF.registers\[10\]\[26\],46.16µm
RF.registers\[13\]\[3\],46.06µm
_2451_,45.96µm
_2422_,45.94µm
RF.registers\[8\]\[30\],45.91µm
_1330_,45.86µm
DMEM.memory\[16\]\[23\],45.82µm
_2489_,45.81µm
_2280_,45.675µm
RF.registers\[8\]\[17\],45.56µm
net517,45.55µm
RF.registers\[15\]\[14\],45.54µm
RF.registers\[12\]\[6\],45.48µm
RF.registers\[9\]\[5\],45.38µm
RF.registers\[2\]\[4\],45.12µm
next_pc\[18\],45.1µm
RF.registers\[8\]\[24\],45.06µm
_2036_,45.06µm
_1979_,45µm
alu_result_out[31],44.89µm
net309,44.88µm
net73,44.86µm
_1333_,44.82µm
pc_out[31],44.81µm
instruction_out[2],44.81µm
_2473_,44.74µm
_1960_,44.7µm
RF.registers\[4\]\[0\],44.6µm
_1951_,44.48µm
pc_out[23],44.44µm
_1692_,44.38µm
_2185_,44.34µm
RF.registers\[4\]\[10\],44.215µm
RF.registers\[3\]\[5\],44.145µm
net512,44.1µm
pc_out[30],43.81µm
_1314_,43.6µm
_2235_,43.56µm
_2509_,43.22µm
_2502_,43.195µm
next_pc\[24\],43.08µm
_1277_,43.06µm
_2307_,43.04µm
RF.registers\[10\]\[24\],43µm
DMEM.memory\[0\]\[3\],42.92µm
RF.registers\[8\]\[29\],42.88µm
_1821_,42.84µm
_1272_,42.78µm
_2810_,42.62µm
RF.registers\[3\]\[31\],42.58µm
RF.registers\[8\]\[2\],42.58µm
_1338_,42.555µm
_1332_,42.46µm
