net,length_um
net392,579.5µm
_2882_,569.175µm
clknet_0_clk,550.44µm
net502,501.4µm
net487,498.58µm
_2542_,445.46µm
net500,439.09µm
net394,438.9µm
net370,437.26µm
net485,425.73µm
net417,423.2µm
net37,414.76µm
net307,412.83µm
net454,409.86µm
net501,409.64µm
_1557_,407.02µm
net524,403.41µm
net318,398.46µm
clknet_3_1__leaf_clk,390.09µm
net363,387.2µm
net482,385.66µm
_1464_,383.235µm
_2632_,382.87µm
_1473_,382.12µm
_2830_,378.45µm
net398,376.99µm
net434,375.825µm
net340,374.11µm
net496,370.61µm
_1550_,370.1µm
_2917_,368.72µm
net515,367.52µm
net30,363.4µm
net263,361.62µm
_2923_,360.38µm
net313,354.1µm
_1263_,350.74µm
net438,350.49µm
net265,346.78µm
net481,345.98µm
net476,341.26µm
net513,341.21µm
net452,339.965µm
net369,337.66µm
net377,337.195µm
_2580_,336.9µm
net382,336.265µm
net436,336.21µm
clk,335.77µm
net471,333.95µm
net110,331.79µm
net44,331.76µm
_1562_,330.03µm
net319,329.84µm
_1490_,327.38µm
net579,327.16µm
net49,325.005µm
net499,324.62µm
net470,323.77µm
net337,322.52µm
_1578_,321.52µm
_2985_,321.02µm
net400,319.83µm
net522,319.185µm
_1298_,318.63µm
net483,318.32µm
_1486_,314.785µm
net467,312.32µm
net466,311.9µm
net311,311.27µm
net474,309.97µm
clknet_3_0__leaf_clk,309.25µm
net331,309.21µm
clknet_3_4__leaf_clk,308.54µm
net497,308.2µm
net312,307.32µm
net317,306.35µm
net412,305.805µm
net390,305.24µm
_2371_,303.86µm
RF.registers\[12\]\[20\],300.115µm
net514,299.72µm
net24,299.31µm
net567,297.965µm
_1345_,296.57µm
_1812_,295.01µm
net473,294.85µm
_1554_,294.525µm
net468,294.52µm
net16,294.48µm
net362,294.04µm
net492,293.83µm
RF.registers\[12\]\[23\],293.18µm
net342,292.86µm
net352,292.83µm
_1288_,291.82µm
_1264_,291.38µm
net349,290.435µm
net480,289.935µm
clknet_3_5__leaf_clk,287.875µm
net305,287.54µm
net439,285.94µm
net479,285.1µm
net56,283.46µm
net18,283.42µm
RF.registers\[12\]\[19\],283.41µm
net469,283.15µm
net478,282.82µm
net446,281.26µm
net23,280.68µm
_1312_,280.11µm
net343,280.09µm
net267,278.24µm
net498,277.92µm
net302,274.89µm
net381,272.32µm
RF.registers\[12\]\[16\],271.63µm
net368,271.41µm
net383,271.06µm
_2862_,270.91µm
_2333_,269.43µm
_2950_,268.16µm
net435,267.66µm
net384,265.88µm
next_pc\[7\],265.435µm
net359,264.215µm
net357,263.265µm
_2466_,262.62µm
net20,261.54µm
net397,260.83µm
RF.registers\[12\]\[22\],260.68µm
net523,260.32µm
net408,257.6µm
_3128_,257.52µm
clknet_3_6__leaf_clk,255.41µm
net351,255.21µm
net582,252.89µm
net440,252.505µm
_2606_,252.38µm
net443,251.59µm
net416,251.15µm
net554,250.68µm
net283,250.055µm
RF.registers\[12\]\[17\],248.59µm
_2158_,248.59µm
net453,247.13µm
_1934_,247.04µm
net378,246.02µm
net336,245.38µm
_2682_,245.14µm
net306,244.83µm
net308,244.7µm
net46,242.8µm
net310,241.7µm
RF.registers\[12\]\[21\],241.53µm
_1920_,241.33µm
RF.registers\[12\]\[25\],241.135µm
_1927_,240.465µm
net449,240.235µm
_1382_,239.035µm
_2335_,238.97µm
net542,237.96µm
_1912_,237.14µm
_1459_,237.13µm
net387,236.78µm
_2306_,236.54µm
net415,236.535µm
_2841_,236.16µm
RF.registers\[12\]\[18\],235.495µm
net557,235.36µm
net345,235.16µm
net521,233.83µm
net347,233.66µm
_2855_,232.59µm
_2859_,232.52µm
net491,232.19µm
RF.registers\[10\]\[28\],231.8µm
net409,231.635µm
net335,229.46µm
_1603_,229.38µm
net555,229.36µm
net442,228.86µm
net533,228.55µm
net26,228.16µm
net472,227.98µm
net60,227µm
net19,225.84µm
_1941_,225.62µm
net525,225.02µm
net356,223.93µm
_1887_,223.78µm
_1466_,223.05µm
net314,221.95µm
net544,221.78µm
net543,219.24µm
next_pc\[15\],219.01µm
net401,218.13µm
net50,217.67µm
_1331_,217.31µm
clknet_leaf_11_clk,216.82µm
net275,216.8µm
_2332_,215.36µm
_1323_,215.33µm
net268,214.66µm
net388,214.26µm
clknet_leaf_7_clk,213.93µm
RF.registers\[10\]\[6\],213.67µm
net332,213.645µm
net32,213.36µm
_2708_,213.33µm
net40,213.28µm
net374,212.955µm
_2785_,212.75µm
net404,212.705µm
RF.registers\[10\]\[11\],212.22µm
net488,212.2µm
_2524_,211.48µm
_2299_,211.38µm
net448,211.36µm
net569,211.22µm
net393,210.18µm
clknet_leaf_4_clk,209.76µm
net464,209.615µm
net403,209.61µm
net450,208.375µm
net551,206.82µm
net391,206.68µm
net346,206.44µm
net540,206.34µm
_1341_,205.52µm
RF.registers\[13\]\[16\],205.12µm
_2762_,205.02µm
clknet_3_2__leaf_clk,204.79µm
clknet_leaf_42_clk,204.165µm
_2852_,203.84µm
net59,203.52µm
clknet_leaf_3_clk,203.38µm
net366,203.12µm
net315,202.94µm
net529,202.87µm
_1658_,202.545µm
net36,201.75µm
net341,201.56µm
clknet_leaf_20_clk,200.985µm
_2850_,200.97µm
net350,199.935µm
net320,199µm
_1350_,198.6µm
_2593_,198.28µm
net545,198.14µm
net63,198.08µm
RF.registers\[12\]\[24\],197.52µm
net69,197.18µm
net573,197µm
_1304_,196.615µm
net371,194.73µm
net424,194.1µm
clknet_3_7__leaf_clk,193.97µm
net526,193.48µm
_1656_,193.36µm
net57,193.095µm
net546,192.67µm
_2138_,192.29µm
net419,191.73µm
_1455_,191.36µm
_2653_,191.29µm
net427,190.81µm
