net,length_um
clknet_0_clk,549.26µm
_2882_,518.85µm
net508,476.06µm
net371,469.89µm
net653,468.28µm
net622,442.64µm
net451,420.6µm
net439,415.03µm
net503,413.18µm
net631,409.36µm
_1557_,395.87µm
net660,390.36µm
net621,386.85µm
_1263_,384.58µm
net259,384.32µm
net385,382.97µm
_1455_,372.86µm
_1264_,372.08µm
net495,369.6µm
net506,360.86µm
_1382_,356.12µm
net400,350.22µm
_1464_,344.41µm
net384,338.635µm
_1312_,332.3µm
net442,330.76µm
_1345_,327µm
_2923_,326.63µm
net488,326.42µm
clknet_3_5__leaf_clk,321.745µm
net359,321.235µm
net502,320.72µm
net433,320.36µm
net365,316.56µm
net599,316.2µm
_2917_,315.785µm
net620,312.43µm
net355,312.14µm
net485,310.075µm
net498,309.575µm
net389,303.39µm
net491,303.2µm
_1486_,302.97µm
_2632_,301.8µm
net444,299.1µm
net366,292.91µm
clk,291.61µm
net430,287.7µm
clknet_3_4__leaf_clk,279.83µm
net362,277.9µm
net474,275.955µm
net358,275.74µm
net435,274.96µm
net393,273.82µm
net449,268.95µm
clknet_3_3__leaf_clk,268.51µm
net571,268.32µm
net364,267.385µm
net360,266.905µm
net489,264.995µm
clknet_3_6__leaf_clk,264.68µm
RF.registers\[12\]\[21\],262.66µm
net422,261.25µm
clknet_3_2__leaf_clk,259.16µm
_1463_,257.73µm
net399,257.39µm
RF.registers\[12\]\[0\],257.365µm
net403,257.125µm
net501,254.025µm
net661,252.42µm
RF.registers\[12\]\[30\],252.225µm
net494,251.19µm
net423,251.19µm
RF.registers\[12\]\[20\],251.09µm
net583,249.25µm
RF.registers\[12\]\[27\],248.97µm
DMEM.memory\[0\]\[4\],248.64µm
net416,247.535µm
RF.registers\[12\]\[19\],245.56µm
_1656_,245.15µm
net396,244.535µm
_2332_,243.71µm
net386,242.7µm
net372,241.2µm
RF.registers\[12\]\[22\],241.16µm
RF.registers\[12\]\[25\],240.97µm
_1473_,240.74µm
net431,240.56µm
net356,239.15µm
net413,238.13µm
RF.registers\[12\]\[31\],235.69µm
clknet_3_0__leaf_clk,233.38µm
RF.registers\[12\]\[13\],232.79µm
RF.registers\[12\]\[2\],232.505µm
net486,232.15µm
net662,232.09µm
_2157_,230.96µm
net456,230.095µm
net632,229.5µm
net497,228.94µm
net432,228.9µm
net512,228.8µm
RF.registers\[12\]\[29\],227.845µm
RF.registers\[12\]\[10\],227.125µm
RF.registers\[12\]\[23\],226.36µm
_1658_,226.345µm
net373,225.25µm
clknet_leaf_38_clk,223.58µm
RF.registers\[12\]\[11\],222.975µm
net470,222.825µm
RF.registers\[12\]\[1\],221.01µm
net367,219.1µm
net412,219.05µm
net443,218.87µm
net437,218.01µm
net461,218.01µm
net590,217.42µm
net380,212.66µm
net490,211.84µm
net465,211.42µm
DMEM.memory\[0\]\[3\],210.29µm
net410,209.68µm
DMEM.memory\[0\]\[16\],209.08µm
_1637_,208.935µm
_1460_,208.58µm
net374,207.445µm
clknet_3_7__leaf_clk,207.01µm
_1729_,207.005µm
RF.registers\[12\]\[18\],206.925µm
_1651_,206.035µm
net594,205.48µm
RF.registers\[12\]\[14\],205.26µm
net318,204.52µm
clknet_3_1__leaf_clk,203.92µm
net391,203.86µm
net390,203.42µm
net414,202.66µm
net418,202.35µm
net581,202.16µm
_1293_,201.89µm
net499,201.425µm
net561,200.06µm
clknet_leaf_15_clk,199.36µm
clknet_leaf_34_clk,198.28µm
clknet_leaf_26_clk,198.01µm
net436,197.99µm
net392,197.65µm
net434,196.84µm
net397,196.12µm
_1554_,195.94µm
net585,195.37µm
clknet_leaf_35_clk,195.2µm
net580,194.78µm
_1827_,194.28µm
net424,194.06µm
clknet_leaf_27_clk,192.56µm
DMEM.memory\[0\]\[8\],192.12µm
net406,191.65µm
net468,191.64µm
_2408_,190.815µm
net415,190.47µm
net578,190.46µm
net649,188.72µm
net577,188.46µm
net633,188.35µm
net467,188.33µm
DMEM.memory\[0\]\[5\],187.395µm
DMEM.memory\[0\]\[17\],187.38µm
_1578_,187.13µm
net404,186.1µm
_1615_,185.815µm
_2543_,185.62µm
_1575_,185.32µm
net370,185.16µm
net375,184.985µm
RF.registers\[12\]\[28\],184.8µm
_2562_,184µm
net421,183.82µm
net574,183.13µm
clknet_leaf_23_clk,182.83µm
net324,182.46µm
net648,182.07µm
net420,181.98µm
RF.registers\[15\]\[20\],181.88µm
net522,181.46µm
_2371_,181.06µm
net615,180.64µm
net352,180.43µm
_1768_,180.12µm
net476,180µm
net496,179.9µm
clknet_leaf_20_clk,179.68µm
net603,178.8µm
clknet_leaf_28_clk,178.66µm
_1320_,178.41µm
_1289_,178.31µm
net320,178.18µm
net335,177.865µm
net401,177.58µm
clknet_leaf_14_clk,177.46µm
_2837_,177.14µm
clknet_leaf_29_clk,176.94µm
clknet_leaf_7_clk,176.64µm
RF.registers\[11\]\[23\],176.36µm
net445,176.1µm
net398,175.76µm
_3134_,175.38µm
RF.registers\[8\]\[0\],175.22µm
_3133_,175µm
RF.registers\[12\]\[9\],174.79µm
_2338_,174.74µm
net589,174.61µm
net573,173.44µm
net321,173.13µm
_1357_,173.02µm
