net,length_um
clknet_0_clk,505.26µm
net494,454.73µm
net382,406.42µm
net436,400.37µm
net327,398.72µm
net516,381.74µm
net492,378.68µm
net493,374.02µm
net262,367.19µm
net315,364.78µm
net507,362.88µm
_2882_,361.5µm
net428,360.135µm
net441,359.22µm
net46,354.02µm
_2923_,348.475µm
_2542_,340.2µm
net444,336.1µm
net484,332.52µm
net383,327.1µm
net477,326.86µm
net363,322.15µm
net532,321.58µm
_1464_,318.105µm
net375,316.86µm
net463,314.07µm
_1486_,313.53µm
net250,309.41µm
net312,304.47µm
net44,302.86µm
net468,295.86µm
clk,290.515µm
net459,288.94µm
_2950_,288.72µm
net310,288.48µm
_2371_,287.98µm
net370,287.22µm
clknet_3_1__leaf_clk,285.63µm
net534,284.34µm
net433,281.1µm
net517,280.9µm
_1550_,280.38µm
net336,280.3µm
net514,280.13µm
net479,279.42µm
net332,276.98µm
net547,276.86µm
net489,276.26µm
net546,276.21µm
_1490_,275.85µm
net458,274.78µm
_1562_,274.5µm
net491,273.46µm
net107,273.4µm
net264,272.89µm
_1293_,272.79µm
net298,272.58µm
net385,271.45µm
net297,271.38µm
net465,271.25µm
_2580_,270.04µm
net462,268.86µm
net338,268.71µm
net340,267.03µm
net461,266.88µm
net387,266.08µm
net333,265.89µm
net474,265.7µm
net303,264.96µm
net505,263.78µm
net23,263.3µm
net488,262.99µm
net535,261.88µm
net376,261.285µm
net36,260.8µm
net460,260.37µm
net456,259.48µm
net426,258.64µm
net35,257.92µm
_2985_,257.74µm
_2862_,257.43µm
net435,257.12µm
net443,256.015µm
net384,255.54µm
net466,255.24µm
_2632_,254.09µm
net329,253.36µm
_1557_,253.04µm
net377,251.485µm
net473,251.3µm
net430,250.6µm
net574,250.35µm
_1283_,247.84µm
RF.registers\[12\]\[8\],246.755µm
net408,246.33µm
net357,245.92µm
net381,245.91µm
net71,245.62µm
_1263_,243.2µm
net344,242.325µm
net472,241.96µm
net61,241.55µm
_1252_,241.25µm
_2157_,240.11µm
net536,239.78µm
net475,238.04µm
net362,237.09µm
net331,236.94µm
net22,236.74µm
net407,236.295µm
net440,235.51µm
_1268_,235.26µm
net518,234.06µm
net427,232.79µm
net509,231.22µm
_2557_,230.41µm
net448,230.1µm
net350,229.66µm
_1473_,229.41µm
RF.registers\[12\]\[19\],229.28µm
_1382_,228.4µm
net510,228µm
net43,227.91µm
net308,227.62µm
net57,225.48µm
clknet_3_0__leaf_clk,225.36µm
_1578_,224.85µm
net341,224.58µm
clknet_3_4__leaf_clk,223.92µm
_2830_,223.82µm
net318,223.805µm
net378,223.76µm
net302,223.42µm
net307,221.82µm
_2841_,220.81µm
_1554_,220.065µm
net528,219.16µm
net560,218.02µm
RF.registers\[12\]\[23\],216.18µm
clknet_3_5__leaf_clk,216.18µm
net464,215.84µm
net506,215.75µm
net56,215.68µm
net537,215.66µm
net540,215.66µm
net451,214.42µm
clknet_leaf_8_clk,214.16µm
