Metric,Value
route__drc_errors__iter:3,0
route__wirelength__iter:3,154599
route__drc_errors__iter:4,3
route__wirelength__iter:4,154579
route__drc_errors__iter:5,3
route__wirelength__iter:5,154579
route__drc_errors__iter:6,0
route__wirelength__iter:6,154590
route__drc_errors,0
route__wirelength,154599
route__vias,29638
route__vias__singlecut,29638
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,505.26
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,44
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.13783367892726694
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.13424937930204495
timing__hold__ws__corner:min_tt_025C_1v80,0.4772130603531686
timing__setup__ws__corner:min_tt_025C_1v80,11.481484532538916
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.477213
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,16.179012
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,44
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.1595355975814457
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.15151856587158782
timing__hold__ws__corner:min_ss_100C_1v60,1.0659939899185085
timing__setup__ws__corner:min_ss_100C_1v60,3.630814862644869
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,1.065994
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,7.877821
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
