net,length_um
clknet_0_clk,539.63µm
net390,456.81µm
net508,440.92µm
net451,430.9µm
net540,425.77µm
net344,421.675µm
net345,397.555µm
_2882_,395.11µm
net387,390.43µm
net398,386.98µm
net518,383.17µm
net440,372.85µm
net509,368.5µm
_1382_,363.42µm
net547,355.84µm
net448,352.56µm
net430,348.625µm
net442,340.62µm
net439,339.46µm
net453,338.85µm
net454,336.94µm
_2985_,330.48µm
net486,325.28µm
net433,322.6µm
net392,317.18µm
net363,315.78µm
net391,311.24µm
net421,309.71µm
net382,309.39µm
net507,308.32µm
_1455_,308.21µm
net443,306.165µm
net339,305.6µm
net17,305.55µm
net335,304.535µm
_1293_,300.73µm
net434,294.635µm
net447,293.48µm
clk,290.955µm
net410,288.41µm
net348,286.32µm
net380,282.99µm
_1361_,281µm
net371,275.82µm
net437,274.5µm
net308,269.61µm
net356,269.08µm
net314,268.92µm
net49,268.85µm
_1557_,268.58µm
net270,268.34µm
net312,265.47µm
net48,264.14µm
net395,261.13µm
RF.registers\[12\]\[2\],260.245µm
RF.registers\[12\]\[5\],257.47µm
net394,255.56µm
net316,254.46µm
net402,253.62µm
_1464_,252.105µm
net66,251.72µm
net51,250.13µm
net353,249.8µm
clknet_3_4__leaf_clk,248.51µm
net575,244.17µm
net441,243.78µm
_2917_,243.74µm
RF.registers\[12\]\[16\],241.67µm
RF.registers\[12\]\[17\],241.62µm
net549,241.03µm
_2632_,238.32µm
net548,238.12µm
net19,238.12µm
net542,237.8µm
_1263_,235.595µm
net338,235.21µm
net318,233.67µm
RF.registers\[12\]\[0\],233.62µm
net322,233.4µm
net541,233.14µm
net476,232.02µm
net482,231.58µm
net539,230.62µm
net349,230.61µm
net388,230.25µm
_2923_,229.83µm
net538,229.34µm
RF.registers\[12\]\[23\],229.11µm
RF.registers\[12\]\[20\],228.43µm
net313,228.41µm
net311,227.955µm
net470,227.77µm
_1637_,226.575µm
clknet_3_6__leaf_clk,225.81µm
net576,225.56µm
net342,223.94µm
RF.registers\[12\]\[6\],223.3µm
net399,222.555µm
RF.registers\[12\]\[25\],222.095µm
