net,length_um
_1479_,77.7µm
_2545_,77.69µm
net35,77.56µm
_1266_,77.49µm
_2783_,77.22µm
RF.registers\[8\]\[22\],77.055µm
_1287_,77.025µm
RF.registers\[10\]\[7\],76.72µm
_1745_,76.6µm
_1432_,76.1µm
RF.registers\[16\]\[10\],76.06µm
RF.registers\[10\]\[14\],76.04µm
net483,75.06µm
RF.registers\[15\]\[21\],74.32µm
net561,74.08µm
net19,73.96µm
RF.registers\[10\]\[20\],73.925µm
_1268_,73.7µm
_2249_,73.68µm
net453,73.58µm
_2529_,73.44µm
_2076_,73.42µm
next_pc\[16\],73.29µm
_1328_,72.76µm
_1594_,72.76µm
_1707_,72.58µm
_1803_,72.37µm
_2327_,72.36µm
_1299_,72.04µm
_2617_,71.96µm
RF.registers\[13\]\[12\],71.825µm
_1521_,71.78µm
_1913_,71.76µm
_2246_,71.66µm
net369,71.63µm
RF.registers\[8\]\[2\],71.62µm
RF.registers\[2\]\[23\],71.58µm
_3130_,71.54µm
_2642_,71.38µm
_1417_,71.34µm
clknet_leaf_37_clk,70.98µm
_2278_,70.955µm
net13,70.58µm
RF.registers\[8\]\[13\],70.42µm
_2150_,70.24µm
_2306_,69.64µm
_1323_,69.36µm
_1999_,69.22µm
_2151_,69.21µm
_2652_,69.18µm
net491,69.08µm
_1502_,68.98µm
RF.registers\[13\]\[6\],68.84µm
RF.registers\[10\]\[22\],68.8µm
_2261_,68.74µm
_2010_,68.44µm
_3128_,68.1µm
_1335_,68.095µm
RF.registers\[10\]\[24\],68.04µm
_2850_,67.8µm
RF.registers\[16\]\[21\],67.72µm
net300,67.66µm
_1481_,67.62µm
RF.registers\[10\]\[21\],67.26µm
_1970_,67.21µm
RF.registers\[10\]\[29\],67.045µm
net280,66.69µm
RF.registers\[10\]\[11\],66.6µm
_1501_,66.5µm
_1558_,66.28µm
RF.registers\[8\]\[3\],66.18µm
_1817_,65.9µm
_1483_,65.78µm
RF.registers\[8\]\[1\],65.68µm
_1360_,65.36µm
_2760_,65.04µm
RF.registers\[12\]\[24\],64.98µm
_1435_,64.94µm
_1342_,64.7µm
RF.registers\[3\]\[31\],64.52µm
_2427_,64.26µm
_1809_,64.185µm
_2439_,64.145µm
_1615_,63.965µm
RF.registers\[10\]\[19\],63.83µm
RF.registers\[15\]\[12\],63.58µm
RF.registers\[8\]\[5\],63.56µm
_1443_,63.47µm
_2286_,63.18µm
_2733_,63.18µm
RF.registers\[10\]\[9\],62.75µm
_1256_,62.72µm
_1608_,62.68µm
_1295_,62.48µm
_1445_,62.47µm
_1904_,62.28µm
RF.registers\[10\]\[17\],62.25µm
RF.registers\[10\]\[10\],62.24µm
_1912_,62.18µm
_2132_,62.06µm
net410,62.04µm
_2109_,62.01µm
_1806_,61.88µm
net415,61.86µm
_2731_,61.79µm
RF.registers\[2\]\[12\],61.74µm
RF.registers\[10\]\[26\],61.64µm
RF.registers\[15\]\[14\],61.44µm
_1270_,61.16µm
_2300_,61.12µm
RF.registers\[10\]\[0\],61.035µm
RF.registers\[10\]\[6\],61µm
net490,60.68µm
_1334_,60.36µm
DMEM.memory\[0\]\[30\],60.305µm
_2526_,60.25µm
net301,60.11µm
_1827_,59.36µm
_2228_,59.29µm
RF.registers\[15\]\[28\],59.16µm
_2669_,58.96µm
next_pc\[19\],58.89µm
_2738_,58.82µm
_2497_,58.78µm
_2616_,58.58µm
RF.registers\[10\]\[16\],58.545µm
RF.registers\[11\]\[15\],58.45µm
RF.registers\[10\]\[8\],58.32µm
_1816_,58.06µm
RF.registers\[2\]\[11\],58.04µm
net497,57.8µm
RF.registers\[8\]\[10\],57.625µm
_2149_,57.48µm
net565,57.32µm
next_pc\[24\],57.2µm
_1408_,57.01µm
_2641_,56.86µm
net562,56.8µm
RF.registers\[15\]\[16\],56.785µm
_1288_,56.78µm
_2153_,56.42µm
RF.registers\[3\]\[6\],56.405µm
net508,56.34µm
_1314_,56.3µm
RF.registers\[8\]\[4\],56.02µm
RF.registers\[5\]\[6\],55.98µm
_2516_,55.96µm
RF.registers\[8\]\[14\],55.82µm
_1964_,55.78µm
_2001_,55.755µm
_2026_,55.695µm
RF.registers\[8\]\[11\],55.69µm
net449,55.66µm
_1636_,55.51µm
_0362_,55.09µm
RF.registers\[4\]\[14\],55µm
RF.registers\[8\]\[15\],55µm
_1396_,54.785µm
_1821_,54.46µm
_1886_,54.46µm
_1779_,54.14µm
next_pc\[22\],54.14µm
RF.registers\[2\]\[2\],54.105µm
_1482_,53.995µm
_1343_,53.92µm
RF.registers\[2\]\[10\],53.9µm
_2211_,53.75µm
_1603_,53.57µm
_1675_,53.54µm
_2721_,53.52µm
_2083_,53.5µm
_2696_,53.5µm
RF.registers\[1\]\[2\],53.42µm
RF.registers\[8\]\[18\],53.235µm
net549,53.14µm
_2116_,53.04µm
RF.registers\[8\]\[17\],52.94µm
_1807_,52.92µm
RF.registers\[13\]\[30\],52.765µm
_2299_,52.72µm
_1427_,52.7µm
RF.registers\[4\]\[2\],52.66µm
RF.registers\[13\]\[0\],52.36µm
RF.registers\[10\]\[12\],52.305µm
_2470_,52.3µm
_2106_,52.16µm
net253,52.02µm
RF.registers\[4\]\[6\],51.97µm
RF.registers\[2\]\[15\],51.94µm
_2281_,51.9µm
_1967_,51.84µm
net552,51.82µm
_1337_,51.66µm
RF.registers\[8\]\[7\],51.52µm
_2100_,51.12µm
net487,51.1µm
net414,51.005µm
RF.registers\[1\]\[7\],50.9µm
_2750_,50.84µm
next_pc\[27\],50.76µm
_2092_,50.7µm
RF.registers\[5\]\[28\],50.62µm
_2309_,50.58µm
RF.registers\[2\]\[13\],50.54µm
_2603_,50.46µm
RF.registers\[13\]\[18\],50.45µm
_2126_,50.34µm
_2196_,50.28µm
_1344_,50.12µm
_2021_,50.1µm
_1977_,49.98µm
RF.registers\[2\]\[9\],49.74µm
RF.registers\[2\]\[3\],49.7µm
RF.registers\[9\]\[6\],49.68µm
_1979_,49.62µm
next_pc\[28\],49.54µm
net555,49.44µm
_1275_,49.42µm
RF.registers\[8\]\[30\],49.3µm
_1948_,49.26µm
net43,49.18µm
_2294_,48.96µm
RF.registers\[2\]\[17\],48.925µm
_2636_,48.92µm
RF.registers\[10\]\[5\],48.88µm
net48,48.82µm
_2217_,48.66µm
RF.registers\[8\]\[20\],48.36µm
DMEM.memory\[0\]\[17\],48.34µm
_1568_,48.34µm
_2743_,48.16µm
_1461_,48.02µm
RF.registers\[8\]\[25\],47.84µm
_2593_,47.84µm
_1466_,47.72µm
RF.registers\[15\]\[18\],47.66µm
RF.registers\[4\]\[3\],47.59µm
RF.registers\[2\]\[14\],47.56µm
_1366_,47.54µm
RF.registers\[4\]\[25\],47.445µm
RF.registers\[13\]\[7\],47µm
_2772_,46.96µm
RF.registers\[3\]\[22\],46.88µm
_3123_,46.76µm
_1975_,46.54µm
_2003_,46.14µm
_2428_,46.105µm
_2071_,46.02µm
_2123_,46.02µm
RF.registers\[16\]\[2\],45.9µm
_2302_,45.9µm
_1961_,45.88µm
_1359_,45.82µm
_0303_,45.79µm
_2466_,45.64µm
_2627_,45.6µm
DMEM.memory\[0\]\[24\],45.58µm
_2209_,45.52µm
_1991_,45.5µm
RF.registers\[2\]\[16\],45.46µm
next_pc\[20\],45.38µm
_2197_,45.36µm
_2499_,45.28µm
DMEM.memory\[0\]\[0\],45.18µm
RF.registers\[10\]\[31\],45.18µm
_2444_,45.14µm
net26,45.14µm
net496,45.04µm
net63,44.89µm
RF.registers\[16\]\[4\],44.74µm
_1261_,44.7µm
_1364_,44.61µm
_1380_,44.6µm
net24,44.52µm
_2225_,44.37µm
net557,44.32µm
_2706_,44.26µm
_3133_,44.26µm
_2314_,44.22µm
_2280_,44.155µm
_2328_,44.06µm
_2087_,44.02µm
net455,43.8µm
_2235_,43.66µm
_1402_,43.64µm
net368,43.595µm
net395,43.55µm
_1672_,43.42µm
_2156_,43.2µm
net559,43.1µm
RF.registers\[3\]\[17\],42.8µm
_2238_,42.73µm
_1792_,42.66µm
RF.registers\[2\]\[8\],42.6µm
_1954_,42.54µm
RF.registers\[3\]\[4\],42.52µm
next_pc\[18\],42.24µm
_1255_,42.18µm
_2445_,42.08µm
_2506_,41.98µm
_2456_,41.905µm
_2052_,41.84µm
RF.registers\[8\]\[12\],41.74µm
RF.registers\[13\]\[19\],41.585µm
RF.registers\[8\]\[26\],41.58µm
RF.registers\[16\]\[18\],41.54µm
RF.registers\[4\]\[0\],41.505µm
_1663_,41.44µm
DMEM.memory\[0\]\[8\],41.235µm
_1363_,40.88µm
_2213_,40.82µm
_2247_,40.66µm
_2437_,40.64µm
_2098_,40.58µm
RF.registers\[8\]\[29\],40.555µm
_2447_,40.52µm
RF.registers\[8\]\[16\],40.26µm
_2321_,40.22µm
DMEM.memory\[0\]\[27\],40.2µm
RF.registers\[2\]\[7\],40.1µm
_2117_,40.075µm
RF.registers\[11\]\[13\],40.05µm
net513,39.98µm
_1931_,39.92µm
RF.registers\[4\]\[5\],39.86µm
next_pc\[5\],39.86µm
_2317_,39.78µm
_2745_,39.78µm
RF.registers\[11\]\[2\],39.64µm
RF.registers\[10\]\[3\],39.62µm
_2257_,39.62µm
_2179_,39.52µm
_2030_,39.38µm
RF.registers\[4\]\[13\],39.36µm
RF.registers\[10\]\[4\],39.22µm
_1794_,39.21µm
_2547_,39.18µm
_1692_,39.06µm
_2067_,39.02µm
RF.registers\[11\]\[20\],38.96µm
RF.registers\[12\]\[26\],38.96µm
RF.registers\[3\]\[0\],38.94µm
net564,38.9µm
_2233_,38.86µm
RF.registers\[4\]\[23\],38.66µm
_1535_,38.48µm
_1508_,38.395µm
_2500_,38.37µm
_1484_,38.34µm
net511,38.34µm
_2172_,38.3µm
_2167_,38.28µm
_1300_,38.26µm
_2256_,38.14µm
_1782_,38.13µm
_2488_,38.04µm
RF.registers\[3\]\[2\],37.92µm
RF.registers\[9\]\[0\],37.88µm
RF.registers\[13\]\[24\],37.865µm
RF.registers\[11\]\[10\],37.86µm
_2276_,37.86µm
RF.registers\[12\]\[15\],37.78µm
RF.registers\[5\]\[27\],37.78µm
next_pc\[10\],37.6µm
_1717_,37.44µm
_2491_,37.42µm
DMEM.memory\[0\]\[7\],37.22µm
_1949_,37.1µm
RF.registers\[10\]\[2\],37.02µm
_2770_,37.01µm
RF.registers\[3\]\[9\],36.995µm
_1706_,36.78µm
_1321_,36.75µm
_2443_,36.72µm
RF.registers\[3\]\[14\],36.64µm
RF.registers\[3\]\[26\],36.585µm
net1175,36.58µm
RF.registers\[10\]\[25\],36.52µm
_1543_,36.38µm
RF.registers\[4\]\[7\],36.305µm
_2311_,36.26µm
RF.registers\[8\]\[21\],36.18µm
_2004_,36.18µm
RF.registers\[4\]\[30\],36.145µm
_2468_,36.1µm
RF.registers\[3\]\[5\],36.04µm
_2319_,35.98µm
_2159_,35.8µm
_1519_,35.72µm
RF.registers\[1\]\[14\],35.6µm
_2047_,35.58µm
_1627_,35.5µm
_1630_,35.47µm
_1529_,35.44µm
_2434_,35.34µm
_2950_,35.34µm
RF.registers\[11\]\[30\],35.26µm
net425,35.24µm
net480,35.19µm
_1294_,35.14µm
RF.registers\[4\]\[10\],35.02µm
_0008_,34.99µm
_1960_,34.86µm
RF.registers\[8\]\[28\],34.82µm
_1623_,34.78µm
_1526_,34.76µm
RF.registers\[16\]\[29\],34.7µm
RF.registers\[11\]\[31\],34.64µm
_2074_,34.64µm
_2511_,34.62µm
_2746_,34.52µm
_1947_,34.48µm
_2140_,34.44µm
_2809_,34.44µm
_1415_,34.42µm
_1988_,34.4µm
_2204_,34.22µm
_1983_,34.2µm
RF.registers\[13\]\[31\],34.18µm
RF.registers\[2\]\[24\],34.1µm
_1259_,34.1µm
RF.registers\[3\]\[15\],34.04µm
RF.registers\[13\]\[27\],33.94µm
RF.registers\[11\]\[22\],33.84µm
_1922_,33.81µm
RF.registers\[11\]\[19\],33.805µm
RF.registers\[4\]\[4\],33.72µm
DMEM.memory\[0\]\[25\],33.64µm
_2646_,33.64µm
_2858_,33.64µm
_2431_,33.62µm
net548,33.5µm
RF.registers\[1\]\[0\],33.38µm
_2029_,33.26µm
_2023_,33.14µm
_2508_,33.1µm
RF.registers\[11\]\[17\],33.08µm
net70,32.92µm
_2073_,32.9µm
RF.registers\[4\]\[31\],32.88µm
_1824_,32.68µm
_1862_,32.68µm
_2339_,32.66µm
_1826_,32.42µm
_1945_,32.42µm
_1333_,32.16µm
RF.registers\[13\]\[14\],32.08µm
RF.registers\[11\]\[4\],32.04µm
_2034_,32.02µm
net506,31.94µm
RF.registers\[4\]\[29\],31.725µm
RF.registers\[5\]\[9\],31.7µm
_1523_,31.58µm
_1902_,31.5µm
_1770_,31.44µm
_1306_,31.42µm
_1635_,31.42µm
RF.registers\[4\]\[18\],31.38µm
_2187_,31.22µm
_2186_,31.2µm
DMEM.memory\[0\]\[16\],31.12µm
_2011_,31.12µm
_1773_,31.08µm
RF.registers\[13\]\[29\],31.06µm
RF.registers\[3\]\[25\],31.06µm
_2037_,31µm
RF.registers\[2\]\[6\],30.98µm
_2441_,30.96µm
RF.registers\[8\]\[24\],30.82µm
_1655_,30.82µm
_2629_,30.8µm
RF.registers\[11\]\[11\],30.76µm
RF.registers\[16\]\[3\],30.735µm
RF.registers\[4\]\[12\],30.68µm
instruction_out[4],30.68µm
RF.registers\[11\]\[7\],30.56µm
RF.registers\[5\]\[12\],30.505µm
RF.registers\[2\]\[29\],30.46µm
_1700_,30.4µm
_1722_,30.24µm
_1422_,30.22µm
_1923_,30.18µm
_1429_,30.16µm
net30,30.16µm
_2152_,30.12µm
_2015_,30.08µm
_2058_,30.02µm
_2569_,30.02µm
_2007_,29.98µm
net550,29.815µm
net977,29.715µm
RF.registers\[4\]\[1\],29.68µm
RF.registers\[3\]\[23\],29.665µm
next_pc\[7\],29.665µm
DMEM.memory\[0\]\[14\],29.645µm
_2033_,29.6µm
RF.registers\[11\]\[14\],29.585µm
_2509_,29.52µm
_1310_,29.46µm
_2854_,29.4µm
_2270_,29.32µm
_1367_,29.26µm
_1397_,29.18µm
_2006_,29.12µm
RF.registers\[15\]\[27\],29.08µm
RF.registers\[5\]\[25\],29.08µm
_1613_,29.06µm
_2171_,29µm
_2139_,28.81µm
RF.registers\[8\]\[19\],28.78µm
RF.registers\[13\]\[28\],28.72µm
RF.registers\[5\]\[30\],28.68µm
_2096_,28.62µm
RF.registers\[3\]\[16\],28.605µm
_1950_,28.6µm
_1766_,28.56µm
_1955_,28.54µm
RF.registers\[3\]\[7\],28.5µm
RF.registers\[16\]\[16\],28.385µm
_1602_,28.38µm
_1279_,28.36µm
RF.registers\[4\]\[24\],28.325µm
_2192_,28.295µm
_1928_,28.28µm
