net,length_um
net436,616.73µm
clknet_0_clk,505.51µm
net315,504.22µm
net385,481.36µm
_2917_,464.43µm
net381,441.35µm
_2882_,417.52µm
reset,399.045µm
_1361_,394.91µm
net338,382.55µm
net514,377.9µm
_1312_,369.92µm
net505,366.275µm
net46,365.4µm
net543,361.6µm
net504,360.86µm
_2985_,358.51µm
net536,355.07µm
net451,347.46µm
_1382_,347.39µm
net448,346.61µm
net540,336.12µm
net503,333.01µm
RF.registers\[12\]\[16\],332.62µm
net17,327.8µm
_1575_,326.64µm
net311,323.55µm
net330,321.77µm
net387,317.84µm
net334,316.86µm
_1557_,314.6µm
net347,313.53µm
net445,310.22µm
net437,304.77µm
net429,302.52µm
net388,300.85µm
RF.registers\[12\]\[17\],299.77µm
net357,295.55µm
RF.registers\[12\]\[12\],293.84µm
_1455_,293.09µm
net308,290.65µm
net340,289.14µm
net438,282.48µm
net426,279.465µm
net33,277.87µm
net350,277.71µm
net377,273.25µm
net440,270.745µm
_1264_,269.18µm
net419,264.98µm
net430,264.39µm
net376,263.68µm
net317,261.28µm
clknet_3_3__leaf_clk,260.6µm
net432,259.28µm
clk,258.395µm
net49,255.49µm
net299,255.3µm
net309,255.28µm
net310,255.15µm
RF.registers\[12\]\[18\],254.89µm
RF.registers\[12\]\[31\],252.315µm
_2923_,251.66µm
net318,250.33µm
RF.registers\[12\]\[5\],250µm
net344,249.48µm
net544,249.14µm
net363,247.94µm
RF.registers\[12\]\[21\],246.04µm
RF.registers\[12\]\[22\],246.02µm
RF.registers\[12\]\[20\],246µm
net333,245.56µm
_1658_,245.32µm
net443,243.64µm
_1486_,243.49µm
net56,240.44µm
RF.registers\[12\]\[23\],239.78µm
net482,238.59µm
net343,237.84µm
net391,237µm
net303,235.55µm
net470,235.12µm
net478,234.6µm
_1464_,233.805µm
net267,233.77µm
net337,233.67µm
net61,233.52µm
_1293_,232.86µm
_1460_,232.82µm
net434,231.36µm
net439,230.6µm
RF.registers\[12\]\[19\],230.08µm
clknet_leaf_20_clk,230.06µm
net345,229.265µm
_2632_,229.16µm
net372,228.02µm
net365,227.86µm
net466,227.39µm
net361,226.52µm
clknet_3_2__leaf_clk,225.08µm
RF.registers\[12\]\[13\],224.45µm
net378,224.45µm
_1459_,224.29µm
net47,222.48µm
net64,221.71µm
net520,220.86µm
net527,219.97µm
net516,219.56µm
net266,219.56µm
net27,218.04µm
_1389_,217.58µm
net373,217.29µm
RF.registers\[12\]\[10\],217.14µm
_1345_,216.86µm
net342,216.45µm
net405,216.01µm
net545,215.74µm
_2862_,215.3µm
net25,214.69µm
clknet_3_4__leaf_clk,212.5µm
net486,211.3µm
net517,210.28µm
net464,209.91µm
_1263_,209.725µm
RF.registers\[12\]\[2\],209.405µm
_1651_,207.715µm
RF.registers\[12\]\[25\],207.345µm
_2465_,207.13µm
RF.registers\[12\]\[11\],205.83µm
net456,205.66µm
net316,204.84µm
net538,204.84µm
net389,204.82µm
clknet_3_7__leaf_clk,203.29µm
net422,203.045µm
net531,203.025µm
net263,202.18µm
RF.registers\[12\]\[3\],201.11µm
net324,201.02µm
_1656_,200.96µm
net264,200.94µm
net515,200.33µm
RF.registers\[8\]\[0\],199.77µm
net435,199.74µm
net403,199.61µm
net398,199.465µm
net441,199.17µm
net537,198.7µm
_1341_,198.52µm
net472,198.11µm
net521,197.26µm
net313,196.63µm
net346,195.975µm
net522,195.97µm
_2157_,195.72µm
net518,194.57µm
net519,194.4µm
clknet_leaf_18_clk,191.98µm
clknet_leaf_39_clk,191.77µm
net526,191.56µm
net296,191.025µm
net306,190.995µm
net397,189.545µm
net384,188.99µm
net463,188.61µm
_1369_,188.54µm
net471,187.19µm
clknet_3_0__leaf_clk,186.6µm
net320,186.005µm
net314,185.93µm
net533,184.58µm
net532,184.48µm
net401,183.82µm
net379,183.29µm
net468,182.82µm
clknet_3_6__leaf_clk,182.8µm
net530,182.53µm
clknet_leaf_19_clk,181.53µm
_2852_,181.31µm
net433,181.28µm
clknet_3_5__leaf_clk,181.185µm
net396,181.11µm
net69,181µm
net535,180.94µm
net427,180.44µm
clknet_leaf_23_clk,180.28µm
_2837_,179.98µm
net417,179.835µm
RF.registers\[12\]\[27\],179.58µm
net457,179.06µm
clknet_leaf_27_clk,178.92µm
net362,178.82µm
_1863_,178.64µm
net390,178.18µm
net558,177.55µm
net461,176.98µm
_1304_,176.79µm
net475,176.68µm
_2865_,176.63µm
_2879_,175.87µm
net20,175.7µm
net431,175.28µm
net34,175.19µm
net51,175µm
clknet_leaf_10_clk,174.91µm
_2830_,174.66µm
net408,174.28µm
net339,173.88µm
RF.registers\[12\]\[6\],173.64µm
net386,173.44µm
clknet_leaf_13_clk,173.3µm
_1473_,173.04µm
net321,172.93µm
net54,172.78µm
net62,171.76µm
net428,171.495µm
net305,171.32µm
_2542_,171.24µm
net18,171.14µm
_3134_,170.83µm
_2338_,170.78µm
clknet_leaf_38_clk,170.63µm
net473,170.26µm
net295,170.25µm
clknet_leaf_35_clk,170.24µm
net302,170.22µm
RF.registers\[12\]\[9\],169.72µm
_1554_,169.48µm
net477,169.44µm
RF.registers\[12\]\[14\],169.42µm
RF.registers\[12\]\[7\],169.09µm
RF.registers\[12\]\[8\],169µm
net349,168.915µm
clknet_leaf_17_clk,168.02µm
net55,167.64µm
_2803_,167.31µm
net265,165.88µm
_2483_,165.82µm
net383,165.6µm
_1331_,165.48µm
net534,165.08µm
_2138_,164.545µm
_2580_,164.34µm
net272,163.42µm
net38,162.72µm
net277,160.94µm
net292,160.31µm
_2504_,159.98µm
_1905_,159.78µm
clknet_leaf_29_clk,159.75µm
net528,158.5µm
net341,158.325µm
net336,158.305µm
_2606_,157.52µm
clknet_leaf_21_clk,157.48µm
_2775_,157.4µm
net335,157.4µm
clknet_leaf_11_clk,157.37µm
net460,157.06µm
net498,156.81µm
net442,156.795µm
net23,156.26µm
net348,155.94µm
clknet_leaf_34_clk,155.74µm
clknet_leaf_6_clk,155.48µm
net392,155.345µm
clknet_leaf_8_clk,155.175µm
net270,155.03µm
_2859_,154.695µm
_2818_,154.42µm
net328,153.9µm
net278,153.625µm
clknet_leaf_33_clk,153.46µm
_2085_,152.97µm
clknet_leaf_36_clk,152.7µm
_1637_,152.305µm
clknet_leaf_24_clk,152.28µm
net566,152.12µm
net371,152.04µm
net351,152.04µm
net421,151.835µm
_2855_,151.76µm
clknet_leaf_28_clk,151.56µm
net196,151.56µm
net31,151.46µm
net469,151.2µm
net286,150.435µm
net529,150.2µm
clknet_leaf_22_clk,150.08µm
clknet_3_1__leaf_clk,148.24µm
net358,148.21µm
_2371_,148.1µm
net546,147.855µm
net290,147.315µm
RF.registers\[13\]\[16\],147.12µm
net281,146.94µm
net36,146.86µm
_1648_,146.605µm
net402,146.585µm
net276,146.425µm
_2785_,146.22µm
clknet_leaf_30_clk,145.66µm
clknet_leaf_0_clk,145.25µm
RF.registers\[13\]\[4\],145.16µm
RF.registers\[12\]\[1\],144.8µm
_1768_,144.78µm
clknet_leaf_31_clk,144.74µm
net28,144.7µm
net523,144.61µm
net360,143.82µm
_1584_,143.05µm
net364,142.16µm
_1578_,142.13µm
net66,142.09µm
net406,141.885µm
RF.registers\[12\]\[0\],141.285µm
net59,140.98µm
clknet_leaf_14_clk,140.13µm
_1562_,139.74µm
_1669_,139.44µm
_2762_,139.1µm
clknet_leaf_7_clk,138.8µm
net52,136.92µm
_1490_,136.59µm
net370,136.335µm
clknet_leaf_25_clk,136.3µm
net274,136.16µm
net71,136.06µm
_1258_,135.58µm
RF.registers\[13\]\[9\],135.04µm
net298,134.945µm
RF.registers\[13\]\[3\],134.54µm
net393,134.07µm
net412,134.055µm
net322,133.8µm
_2333_,133.28µm
clknet_leaf_41_clk,132.3µm
net409,131.8µm
_1326_,131.37µm
net524,131.18µm
net458,130.84µm
net53,130.36µm
clknet_leaf_12_clk,129.98µm
net312,129.96µm
net44,129.9µm
clknet_leaf_16_clk,129.54µm
net32,129.4µm
clknet_leaf_4_clk,129.24µm
_2841_,129.1µm
net413,128.235µm
net332,127.83µm
net512,127.45µm
clknet_leaf_42_clk,127.4µm
_1290_,127.34µm
net72,127.28µm
net359,126.98µm
net404,126.925µm
net325,126.915µm
_1708_,126.02µm
net331,125.52µm
clknet_leaf_2_clk,125.36µm
_2562_,125.32µm
clknet_leaf_26_clk,125.09µm
RF.registers\[5\]\[5\],124.46µm
clknet_leaf_32_clk,124.4µm
_1687_,124.4µm
clknet_leaf_15_clk,124.39µm
_1682_,124.3µm
net452,124.2µm
net407,123.95µm
_1684_,121.96µm
RF.registers\[13\]\[15\],121.88µm
net273,121.46µm
net22,120.82µm
clknet_leaf_3_clk,120.74µm
_2751_,119.96µm
_2682_,119.77µm
net291,119.46µm
_2524_,119.16µm
_2290_,118.84µm
_1423_,118.82µm
_2604_,118.3µm
net323,118.235µm
_1735_,118.09µm
net284,118.025µm
net65,118.02µm
net285,117.91µm
net202,117.86µm
RF.registers\[10\]\[13\],117.72µm
_2735_,117.58µm
net58,117.56µm
net294,117.47µm
_2477_,117.34µm
RF.registers\[13\]\[10\],116.92µm
net481,115.7µm
net39,115.61µm
_1729_,115.415µm
RF.registers\[13\]\[2\],115.4µm
net326,115.13µm
net411,114.815µm
_2332_,114.74µm
RF.registers\[13\]\[11\],114.22µm
net416,113.76µm
net327,113.72µm
_1664_,113.65µm
_1677_,113.3µm
net289,112.935µm
net382,112.68µm
net304,112.4µm
_1298_,112.36µm
net356,112.245µm
net271,112.14µm
net400,111.895µm
next_pc\[17\],111.84µm
_2724_,111.45µm
net525,111.1µm
net499,111.095µm
clknet_leaf_40_clk,110.82µm
net459,110.78µm
RF.registers\[11\]\[6\],110.6µm
RF.registers\[13\]\[5\],109.85µm
net374,109.68µm
_1439_,109.6µm
net355,109.485µm
_1550_,108.96µm
net399,108.69µm
clknet_leaf_5_clk,107.98µm
_2671_,107.78µm
_1632_,107.42µm
clknet_leaf_9_clk,107.12µm
_1253_,106.82µm
net269,106.72µm
_1507_,106.52µm
RF.registers\[13\]\[13\],105.76µm
clknet_leaf_1_clk,105.62µm
RF.registers\[12\]\[4\],104.8µm
_1920_,104.24µm
net354,103.56µm
net293,103.53µm
_2765_,103.42µm
net287,103.205µm
net279,103.17µm
net420,102.905µm
_1604_,102.81µm
_2592_,102.77µm
net40,102.46µm
_2730_,102.3µm
RF.registers\[11\]\[23\],102.16µm
RF.registers\[13\]\[25\],101.88µm
_2581_,101.24µm
_1934_,100.92µm
_1303_,100.54µm
net68,100.34µm
_1541_,100.22µm
net297,99.71µm
next_pc\[31\],99.595µm
net353,98.215µm
_1252_,98.04µm
net462,97.72µm
RF.registers\[13\]\[8\],97.665µm
RF.registers\[16\]\[11\],97.53µm
net275,97.24µm
net268,97.16µm
_1598_,96.98µm
_1355_,96.7µm
net380,96.6µm
_1477_,95.89µm
net375,95.7µm
_1497_,95.62µm
net283,95.505µm
net444,95.3µm
_2653_,95.26µm
net307,94.83µm
_1350_,94.81µm
RF.registers\[12\]\[29\],94.78µm
DMEM.memory\[0\]\[4\],94.66µm
_2698_,94.54µm
_1311_,94.32µm
_1887_,94.12µm
_2708_,93.94µm
_2615_,93.9µm
RF.registers\[13\]\[21\],93.725µm
_1941_,93.6µm
RF.registers\[12\]\[28\],93.09µm
_1347_,92.94µm
net329,92.4µm
net563,92.32µm
RF.registers\[10\]\[18\],92.065µm
_2543_,91.48µm
RF.registers\[8\]\[6\],91.22µm
_2656_,91.12µm
RF.registers\[13\]\[22\],90.905µm
_2272_,90.58µm
_1565_,90.46µm
_2285_,90.4µm
_2262_,90.2µm
net50,89.64µm
_1994_,89.44µm
_2267_,89.38µm
net67,89.36µm
RF.registers\[10\]\[23\],88.97µm
net37,88.84µm
net57,88.58µm
net352,88.425µm
_1438_,88.26µm
RF.registers\[15\]\[10\],88.16µm
RF.registers\[12\]\[30\],88.02µm
net42,88.02µm
net288,87.765µm
net367,87.62µm
net502,87.36µm
RF.registers\[13\]\[1\],87.32µm
RF.registers\[16\]\[1\],87.005µm
_1978_,86.74µm
net454,85.8µm
_1589_,85.73µm
_1670_,85.59µm
RF.registers\[8\]\[8\],85.56µm
net560,84.9µm
net450,84.755µm
_1320_,84.065µm
_1463_,84.02µm
net282,83.76µm
net21,83.6µm
_1348_,83.215µm
_2840_,83.06µm
next_pc\[25\],82.98µm
RF.registers\[10\]\[15\],82.6µm
_2582_,82.5µm
net256,82.48µm
net423,82.295µm
net424,82.225µm
net319,82.22µm
net45,82.04µm
_2335_,81.78µm
RF.registers\[10\]\[28\],81.54µm
net41,81.34µm
RF.registers\[13\]\[17\],80.9µm
next_pc\[29\],80.82µm
_2498_,80.64µm
_1804_,80.28µm
RF.registers\[13\]\[23\],79.88µm
_2563_,79.8µm
_1888_,79.58µm
net394,79.5µm
_2158_,79.02µm
_1927_,78.87µm
net418,78.78µm
_1283_,78.5µm
net447,78.42µm
RF.registers\[8\]\[23\],78.26µm
_1470_,78.2µm
RF.registers\[8\]\[9\],77.76µm
